key,type,title,author,year,journal,volume,pages,doi,arxiv,pmid,topic
rieke2020future,article,The future of digital health with federated learning,"Rieke, Nicola and Hancox, Jonny and Li, Wenqi and Milletar{\`i}, Fausto and Roth, Holger R. and Albarqouni, Shadi and Bakas, Spyridon and Galtier, Mathieu N. and Landman, Bennett A. and Maier-Hein, Klaus and Ourselin, S{\'e}bastien and Sheller, Micah and Summers, Ronald M. and Trask, Andrew and Xu, Daguang and Baust, Maximilian and Cardoso, M. Jorge",2020,npj Digital Medicine,3,119,10.1038/s41746-020-00323-1,,33015372,FL-personalization-heterogeneity
kaissis2020secure,article,"Secure, privacy-preserving and federated machine learning in medical imaging","Kaissis, Georgios A. and Makowski, Marcus R. and R{\""u}ckert, Daniel and Braren, Rickmer",2020,Nature Machine Intelligence,2,305--311,10.1038/s42256-020-0186-1,,,FL-medical-imaging
guan2024federated,article,Federated learning for medical image analysis: A survey,"Guan, Hao and Yap, Pew-Thian and Bozoki, Andrea and Liu, Mingxia",2024,Pattern Recognition,154,110424,10.1016/j.patcog.2024.110424,,38559674,FL-medical-imaging
darzidehkalani2022federatedI,article,Federated Learning in Medical Imaging: Part I: Toward Multicentral Health Care Ecosystems,"Darzidehkalani, Erfan and Ghasemi-Rad, Mohammad and van Ooijen, Peter M. A.",2022,Journal of the American College of Radiology,,,10.1016/j.jacr.2022.03.015,,35483439,FL-medical-imaging
darzidehkalani2022federatedII,article,"Federated Learning in Medical Imaging: Part II: Methods, Challenges, and Considerations","Darzidehkalani, Erfan and Ghasemi-Rad, Mohammad and van Ooijen, Peter M. A.",2022,Journal of the American College of Radiology,,,10.1016/j.jacr.2022.03.016,,35483437,FL-medical-imaging
sohan2023systematic,article,A Systematic Review on Federated Learning in Medical Image Analysis,"Sohan, Md Fahimuzzman and Basalamah, Anas",2023,IEEE Access,11,,10.1109/ACCESS.2023.3260027,,,FL-medical-imaging
sandhu2023medical,article,Medical Imaging Applications of Federated Learning,"Sandhu, Sukhveer Singh and Taheri Gorji, Hamed and Tavakolian, Pantea and Tavakolian, Kouhyar and Akhbardeh, Alireza",2023,Diagnostics,13,3140,10.3390/diagnostics13193140,,37835883,FL-medical-imaging
rehman2023federated,article,Federated learning for medical imaging radiology,"Rehman, Muhammad Habib ur and Lopez Pinaya, Walter Hugo and Nachev, Parashkev and Teo, James and Ourselin, Sebastien and Cardoso, M. Jorge",2023,British Journal of Radiology,96,20220890,10.1259/bjr.20220890,,38011227,FL-medical-imaging
raza2025federated,article,Federated Learning in radiomics: A comprehensive meta-survey on medical image analysis,"Raza, Aamir and Guzzo, Andrea and Ianni, Michele and Lappano, Raffaele and Zanolini, Alberto and Maggiolini, Maura and Fortino, Giancarlo",2025,Computer Methods and Programs in Biomedicine,,108768,10.1016/j.cmpb.2025.108768,,40279838,FL-medical-imaging
koutsoubis2025privacy,article,Privacy-preserving Federated Learning and Uncertainty Quantification in Medical Imaging,"Koutsoubis, Nikolaos and Waqas, Asim and Yilmaz, Yasin and Ramachandran, Ravi P. and Schabath, Matthew B. and Rasool, Ghulam",2025,Radiology: Artificial Intelligence,7,e240637,10.1148/ryai.240637,,40366260,uncertainty-conformal
sheller2020federated,article,Federated learning in medicine: facilitating multi-institutional collaborations without sharing patient data,"Sheller, Micah J. and Edwards, Brandon and Reina, G. Anthony and Martin, Jason and Pati, Sarthak and Kotrotsou, Aikaterini and Milchenko, Mikhail and Xu, Weilin and Marcus, Daniel and Colen, Rivka R. and Bakas, Spyridon",2020,Scientific Reports,10,12598,10.1038/s41598-020-69250-1,,32724046,FL-personalization-heterogeneity
li2019privacy,inproceedings,Privacy-preserving Federated Brain Tumour Segmentation,"Li, Wenqi and Milletar{\`i}, Fausto and Xu, Daguang and Rieke, Nicola and Hancox, Jonny and Zhu, Wentao and Baust, Maximilian and Cheng, Yan and Ourselin, S{\'e}bastien and Cardoso, M. Jorge and Feng, Andrew",2019,"Domain Adaptation and Representation Transfer and Medical Image Learning with Less Labels and Imperfect Data (DART/MIL3ID), MICCAI Workshops",11795,92--102,10.1007/978-3-030-33391-1_11,1910.00962,,FL-medical-imaging
