strategy,seed,client,alpha,coverage,mean_set_size
fedbn,2,0,,,
fedbn,2,0,0.05,0.991875,2.251875
fedbn,2,0,0.1,0.99,2.078125
fedbn,2,0,0.2,0.988125,1.911875
fedbn,2,0,,,
fedbn,2,1,,,
fedbn,2,1,0.05,1.0,3.0
fedbn,2,1,0.1,1.0,3.0
fedbn,2,1,0.2,0.9914529914529916,2.8376068376068377
fedbn,2,1,,,
fedbn,2,2,,,
fedbn,2,2,0.05,0.9930708661417322,2.188031496062992
fedbn,2,2,0.1,0.9921259842519684,2.054173228346457
fedbn,2,2,0.2,0.991496062992126,1.9332283464566928
fedbn,2,2,,,
fedua,1,0,,,
fedua,1,0,0.05,0.995,2.331875
fedua,1,0,0.1,0.99375,2.133125
fedua,1,0,0.2,0.9925,1.95875
fedua,1,0,,,
fedua,1,1,,,
fedua,1,1,0.05,1.0,3.0
fedua,1,1,0.1,1.0,2.717948717948718
fedua,1,1,0.2,1.0,2.47008547008547
fedua,1,1,,,
fedua,1,2,,,
fedua,1,2,0.05,0.9977952755905511,2.5061417322834645
fedua,1,2,0.1,0.9968503937007874,2.2636220472440947
fedua,1,2,0.2,0.9955905511811024,2.0270866141732284
fedua,1,2,,,
fedua,2,0,,,
fedua,2,0,0.05,0.991875,2.738125
fedua,2,0,0.1,0.989375,2.500625
fedua,2,0,0.2,0.98875,2.12625
fedua,2,0,,,
fedua,2,1,,,
fedua,2,1,0.05,1.0,3.0
fedua,2,1,0.1,0.9914529914529916,2.547008547008547
fedua,2,1,0.2,0.9914529914529916,2.213675213675214
fedua,2,1,,,
fedua,2,2,,,
fedua,2,2,0.05,0.9996850393700788,2.5700787401574803
fedua,2,2,0.1,0.9993700787401576,2.4415748031496065
fedua,2,2,0.2,0.998740157480315,2.2406299212598424
fedua,2,2,,,
