client,class,precision,recall,f1,support
Hospital_A (Brain-Tumor MRI),bt_glioma,0.9914772727272727,0.8725,0.9281914893617021,400.0
Hospital_A (Brain-Tumor MRI),bt_meningioma,0.9238095238095239,0.97,0.9463414634146341,400.0
Hospital_A (Brain-Tumor MRI),bt_notumor,0.9501187648456056,1.0,0.97442143727162,400.0
Hospital_A (Brain-Tumor MRI),bt_pituitary,0.9828009828009828,1.0,0.9913258983890955,400.0
Hospital_B (Breast Ultrasound),bu_benign,0.875,0.7424242424242424,0.8032786885245902,66.0
Hospital_B (Breast Ultrasound),bu_malignant,0.631578947368421,0.7741935483870968,0.6956521739130435,31.0
Hospital_B (Breast Ultrasound),bu_normal,0.782608695652174,0.9,0.8372093023255814,20.0
Hospital_C (COVID-19 X-Ray),cr_covid,0.9925233644859813,0.9797047970479705,0.9860724233983287,542.0
Hospital_C (COVID-19 X-Ray),cr_lung_opacity,0.9654761904761905,0.8991130820399114,0.931113662456946,902.0
Hospital_C (COVID-19 X-Ray),cr_normal,0.9296388542963886,0.9764551994767822,0.9524720893141946,1529.0
Hospital_C (COVID-19 X-Ray),cr_pneumonia,0.979381443298969,0.9405940594059405,0.9595959595959596,202.0
