client,correct,entropy,uncertainty
Hospital_A (Brain-Tumor MRI),0,1.0565246,0.39973527
Hospital_A (Brain-Tumor MRI),1,0.36229247,0.07890499
Hospital_A (Brain-Tumor MRI),1,0.5065232,0.12252247
Hospital_A (Brain-Tumor MRI),1,1.0242257,0.49087697
Hospital_A (Brain-Tumor MRI),0,0.36538222,0.07990581
Hospital_A (Brain-Tumor MRI),0,1.0765487,0.42675108
Hospital_A (Brain-Tumor MRI),1,0.59762114,0.15945506
Hospital_A (Brain-Tumor MRI),1,0.3591402,0.07797682
Hospital_A (Brain-Tumor MRI),0,0.29390612,0.06045991
Hospital_A (Brain-Tumor MRI),1,0.45313033,0.1066376
Hospital_A (Brain-Tumor MRI),0,0.42636877,0.0974499
Hospital_A (Brain-Tumor MRI),0,0.4198743,0.09836978
Hospital_A (Brain-Tumor MRI),1,0.44737095,0.10391784
Hospital_A (Brain-Tumor MRI),1,0.5842834,0.15384781
Hospital_A (Brain-Tumor MRI),1,0.7587433,0.22591501
Hospital_A (Brain-Tumor MRI),1,1.089491,0.5551499
Hospital_A (Brain-Tumor MRI),0,0.74909985,0.22526675
Hospital_A (Brain-Tumor MRI),1,0.60531425,0.16316223
Hospital_A (Brain-Tumor MRI),0,0.6400717,0.17738253
Hospital_A (Brain-Tumor MRI),1,0.7515988,0.21525139
Hospital_A (Brain-Tumor MRI),1,0.60098445,0.1568672
Hospital_A (Brain-Tumor MRI),1,0.91726893,0.29648018
Hospital_A (Brain-Tumor MRI),1,0.40489027,0.09104842
Hospital_A (Brain-Tumor MRI),1,0.43910575,0.10167211
Hospital_A (Brain-Tumor MRI),0,0.8648204,0.2796787
Hospital_A (Brain-Tumor MRI),1,0.7162479,0.19849914
Hospital_A (Brain-Tumor MRI),0,1.1671203,0.5290901
Hospital_A (Brain-Tumor MRI),1,0.45890284,0.107539415
Hospital_A (Brain-Tumor MRI),1,0.4500842,0.10901123
Hospital_A (Brain-Tumor MRI),1,0.8086691,0.23751515
Hospital_A (Brain-Tumor MRI),0,0.5962175,0.1642384
Hospital_A (Brain-Tumor MRI),1,0.42535433,0.09714037
Hospital_A (Brain-Tumor MRI),1,0.80223167,0.23722523
Hospital_A (Brain-Tumor MRI),0,0.40290064,0.09104782
Hospital_A (Brain-Tumor MRI),1,0.4390478,0.10126996
Hospital_A (Brain-Tumor MRI),0,1.0643185,0.41504824
Hospital_A (Brain-Tumor MRI),1,0.6230135,0.16328597
Hospital_A (Brain-Tumor MRI),1,0.42163557,0.09614885
Hospital_A (Brain-Tumor MRI),0,0.7612479,0.24577999
Hospital_A (Brain-Tumor MRI),1,0.44688448,0.104661405
Hospital_A (Brain-Tumor MRI),1,0.6557168,0.18159556
Hospital_A (Brain-Tumor MRI),1,0.50588584,0.12376785
Hospital_A (Brain-Tumor MRI),1,0.7520886,0.21708363
Hospital_A (Brain-Tumor MRI),1,0.82717514,0.27532476
Hospital_A (Brain-Tumor MRI),1,0.95147336,0.333614
Hospital_A (Brain-Tumor MRI),0,0.9847264,0.47537673
Hospital_A (Brain-Tumor MRI),0,0.55776453,0.14210802
Hospital_A (Brain-Tumor MRI),1,0.48880845,0.11705983
Hospital_A (Brain-Tumor MRI),1,0.5205584,0.12717175
Hospital_A (Brain-Tumor MRI),0,0.80277854,0.26037937
Hospital_A (Brain-Tumor MRI),0,0.83592623,0.25576478
Hospital_A (Brain-Tumor MRI),1,0.43982437,0.10187429
Hospital_A (Brain-Tumor MRI),1,0.69671667,0.19604737
Hospital_A (Brain-Tumor MRI),1,0.8261447,0.25988442
Hospital_A (Brain-Tumor MRI),1,0.41812137,0.0950619
Hospital_A (Brain-Tumor MRI),1,0.42400575,0.09845519
Hospital_A (Brain-Tumor MRI),0,0.35780925,0.078421056
Hospital_A (Brain-Tumor MRI),0,1.1986809,0.48192286
Hospital_A (Brain-Tumor MRI),0,0.37311137,0.08224261
Hospital_A (Brain-Tumor MRI),1,0.42443812,0.09720665
Hospital_A (Brain-Tumor MRI),1,0.5064139,0.12554497
Hospital_A (Brain-Tumor MRI),1,0.951555,0.3666271
Hospital_A (Brain-Tumor MRI),1,0.46284813,0.10903257
Hospital_A (Brain-Tumor MRI),1,0.6622281,0.17862004
Hospital_A (Brain-Tumor MRI),1,1.0015361,0.53058827
Hospital_A (Brain-Tumor MRI),0,0.6154927,0.1603666
Hospital_A (Brain-Tumor MRI),0,0.52829576,0.1362549
Hospital_A (Brain-Tumor MRI),1,0.40828353,0.09250033
Hospital_A (Brain-Tumor MRI),0,0.39486325,0.08848661
Hospital_A (Brain-Tumor MRI),0,0.8903357,0.29248673
Hospital_A (Brain-Tumor MRI),1,0.4374284,0.10101801
Hospital_A (Brain-Tumor MRI),1,0.41408008,0.09376079
Hospital_A (Brain-Tumor MRI),1,0.46422425,0.10931027
Hospital_A (Brain-Tumor MRI),1,0.46174657,0.1095956
Hospital_A (Brain-Tumor MRI),1,1.1174659,0.41628128
Hospital_A (Brain-Tumor MRI),0,0.35384524,0.07658577
Hospital_A (Brain-Tumor MRI),1,0.46824908,0.11062771
Hospital_A (Brain-Tumor MRI),1,0.55315477,0.13924944
Hospital_A (Brain-Tumor MRI),1,0.4664058,0.10988742
Hospital_A (Brain-Tumor MRI),0,0.43378848,0.101228714
Hospital_A (Brain-Tumor MRI),0,0.39122695,0.087712705
Hospital_A (Brain-Tumor MRI),1,0.5103265,0.1288346
Hospital_A (Brain-Tumor MRI),1,0.4033895,0.09058726
Hospital_A (Brain-Tumor MRI),1,0.32843307,0.06945604
Hospital_A (Brain-Tumor MRI),1,0.99171394,0.5179316
Hospital_A (Brain-Tumor MRI),0,0.5988316,0.15459853
Hospital_A (Brain-Tumor MRI),1,0.5925081,0.15279287
Hospital_A (Brain-Tumor MRI),0,0.45335084,0.108077765
Hospital_A (Brain-Tumor MRI),1,0.4648609,0.109333694
Hospital_A (Brain-Tumor MRI),1,0.38823247,0.08622539
Hospital_A (Brain-Tumor MRI),1,0.7756475,0.23590434
Hospital_A (Brain-Tumor MRI),1,0.7488928,0.26903343
Hospital_A (Brain-Tumor MRI),1,0.5673652,0.14297384
Hospital_A (Brain-Tumor MRI),1,0.5210933,0.12799448
Hospital_A (Brain-Tumor MRI),1,0.79465103,0.23955852
Hospital_A (Brain-Tumor MRI),1,0.5293634,0.13029164
Hospital_A (Brain-Tumor MRI),1,0.35343608,0.07633436
Hospital_A (Brain-Tumor MRI),0,0.9796511,0.43765897
Hospital_A (Brain-Tumor MRI),1,0.540716,0.13498479
Hospital_A (Brain-Tumor MRI),0,0.64737296,0.1929828
Hospital_A (Brain-Tumor MRI),1,1.1368028,0.54610455
Hospital_A (Brain-Tumor MRI),1,0.4240853,0.096814096
Hospital_A (Brain-Tumor MRI),1,0.48398215,0.115989804
Hospital_A (Brain-Tumor MRI),1,0.392517,0.08878273
Hospital_A (Brain-Tumor MRI),1,0.34278893,0.07334709
Hospital_A (Brain-Tumor MRI),1,0.75461835,0.22912669
Hospital_A (Brain-Tumor MRI),1,0.37356687,0.08196002
Hospital_A (Brain-Tumor MRI),0,0.53539586,0.13757932
Hospital_A (Brain-Tumor MRI),1,0.46303797,0.109120965
Hospital_A (Brain-Tumor MRI),1,0.44768256,0.103933275
Hospital_A (Brain-Tumor MRI),0,0.96385646,0.343329
Hospital_A (Brain-Tumor MRI),1,0.46465588,0.11051792
Hospital_A (Brain-Tumor MRI),1,0.48872226,0.11745757
Hospital_A (Brain-Tumor MRI),1,0.8314059,0.28124046
Hospital_A (Brain-Tumor MRI),1,0.40863815,0.09228706
Hospital_A (Brain-Tumor MRI),0,0.4068845,0.09177959
Hospital_A (Brain-Tumor MRI),1,0.4507986,0.104866385
Hospital_A (Brain-Tumor MRI),0,0.9178064,0.4089501
Hospital_A (Brain-Tumor MRI),0,0.8927306,0.2904266
Hospital_A (Brain-Tumor MRI),1,0.47618046,0.11380464
Hospital_A (Brain-Tumor MRI),1,0.4150231,0.0940212
Hospital_A (Brain-Tumor MRI),1,0.517348,0.12741685
Hospital_A (Brain-Tumor MRI),1,0.99866587,0.33326983
Hospital_A (Brain-Tumor MRI),1,0.45572522,0.106517434
Hospital_A (Brain-Tumor MRI),1,0.5758838,0.14898932
Hospital_A (Brain-Tumor MRI),0,1.0885363,0.48797858
Hospital_A (Brain-Tumor MRI),0,0.8540955,0.26305354
Hospital_A (Brain-Tumor MRI),0,0.41789633,0.09614855
Hospital_A (Brain-Tumor MRI),1,0.8740276,0.29738146
Hospital_A (Brain-Tumor MRI),0,0.6699685,0.18554306
Hospital_A (Brain-Tumor MRI),1,0.45495725,0.106223166
Hospital_A (Brain-Tumor MRI),1,0.6141882,0.16025823
Hospital_A (Brain-Tumor MRI),0,0.76913714,0.23862761
Hospital_A (Brain-Tumor MRI),1,0.35226375,0.076046824
Hospital_A (Brain-Tumor MRI),1,0.6341469,0.16911179
Hospital_A (Brain-Tumor MRI),1,0.49040744,0.11758804
Hospital_A (Brain-Tumor MRI),1,0.73251176,0.21367991
Hospital_A (Brain-Tumor MRI),1,0.83136314,0.24880093
Hospital_A (Brain-Tumor MRI),1,0.53609,0.13255692
Hospital_A (Brain-Tumor MRI),1,0.87402546,0.2832864
Hospital_A (Brain-Tumor MRI),1,0.48429003,0.115478635
Hospital_A (Brain-Tumor MRI),1,0.7670138,0.22469395
Hospital_A (Brain-Tumor MRI),1,0.67141205,0.18322092
Hospital_A (Brain-Tumor MRI),0,0.38573575,0.08621001
Hospital_A (Brain-Tumor MRI),0,1.1610606,0.4617672
Hospital_A (Brain-Tumor MRI),0,1.0518636,0.43978882
Hospital_A (Brain-Tumor MRI),0,1.2945987,0.58188134
Hospital_A (Brain-Tumor MRI),1,0.9816301,0.38867593
Hospital_A (Brain-Tumor MRI),0,0.9319316,0.314336
Hospital_A (Brain-Tumor MRI),1,0.5411326,0.13428599
Hospital_A (Brain-Tumor MRI),1,0.46246105,0.10903233
Hospital_A (Brain-Tumor MRI),1,1.1801919,0.49319792
Hospital_A (Brain-Tumor MRI),1,0.51278037,0.12577552
Hospital_A (Brain-Tumor MRI),0,1.2376301,0.6425094
Hospital_A (Brain-Tumor MRI),0,0.5831367,0.15159297
Hospital_A (Brain-Tumor MRI),1,0.4540152,0.10602307
Hospital_A (Brain-Tumor MRI),1,0.4449652,0.10339445
Hospital_A (Brain-Tumor MRI),1,0.5043416,0.12189585
Hospital_A (Brain-Tumor MRI),1,1.039588,0.40139574
Hospital_A (Brain-Tumor MRI),1,0.48240358,0.115585506
Hospital_A (Brain-Tumor MRI),1,0.96297014,0.3246072
Hospital_A (Brain-Tumor MRI),0,0.48683065,0.11952168
Hospital_A (Brain-Tumor MRI),1,0.7886721,0.27937025
Hospital_A (Brain-Tumor MRI),1,0.8135772,0.28489196
Hospital_A (Brain-Tumor MRI),1,0.5742305,0.14791882
Hospital_A (Brain-Tumor MRI),1,0.61372304,0.15938479
Hospital_A (Brain-Tumor MRI),1,0.5243158,0.1285516
Hospital_A (Brain-Tumor MRI),1,0.6101395,0.1598441
Hospital_A (Brain-Tumor MRI),1,0.7532437,0.24531174
Hospital_A (Brain-Tumor MRI),0,0.722143,0.20183438
Hospital_A (Brain-Tumor MRI),1,0.69870925,0.20043969
Hospital_A (Brain-Tumor MRI),1,0.469618,0.11080766
Hospital_A (Brain-Tumor MRI),1,0.43591294,0.100598335
Hospital_A (Brain-Tumor MRI),1,0.48383164,0.11522043
Hospital_A (Brain-Tumor MRI),1,1.2118797,0.5624176
Hospital_A (Brain-Tumor MRI),1,0.75584215,0.25178814
Hospital_A (Brain-Tumor MRI),1,0.44609335,0.10344046
Hospital_A (Brain-Tumor MRI),0,0.8495956,0.32636833
Hospital_A (Brain-Tumor MRI),1,0.6238786,0.16429925
Hospital_A (Brain-Tumor MRI),1,0.53223574,0.13158911
Hospital_A (Brain-Tumor MRI),1,0.50692654,0.12279862
Hospital_A (Brain-Tumor MRI),1,0.97935283,0.35619432
Hospital_A (Brain-Tumor MRI),0,0.48666334,0.116556704
Hospital_A (Brain-Tumor MRI),0,0.63394475,0.18282193
Hospital_A (Brain-Tumor MRI),1,0.66761047,0.18062747
Hospital_A (Brain-Tumor MRI),1,0.8035438,0.24210143
Hospital_A (Brain-Tumor MRI),1,0.91684115,0.32824022
Hospital_A (Brain-Tumor MRI),1,0.653027,0.17494851
Hospital_A (Brain-Tumor MRI),0,0.88867813,0.35153067
Hospital_A (Brain-Tumor MRI),0,0.5702375,0.15390164
Hospital_A (Brain-Tumor MRI),1,0.42663598,0.09759253
Hospital_A (Brain-Tumor MRI),1,0.5417489,0.13424772
