strategy,seed,client,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedbn,0,0,calib,0.5349099636077881,0.06530527018010615,0.07103420048952103,0.032418994046747696,0.07473380863666534,0.95625,0.95625,,,,,,,,,,
fedbn,0,0,conformal,0.5349099636077881,,,,,,,0.05,0.994375,2.604375,0.9982934594154358,,,,,,
fedbn,0,0,conformal,0.5349099636077881,,,,,,,0.1,0.994375,2.359375,0.9980016350746155,,,,,,
fedbn,0,0,conformal,0.5349099636077881,,,,,,,0.2,0.9925,2.08,0.9975989460945129,,,,,,
fedbn,0,0,risk_cov,,,,,,,,,,,,0.991658609137206,0.9937421777221527,0.9946380697050938,0.9921813917122753,0.9881862404447533,0.9828834759710335
fedbn,0,1,calib,1.3663901090621948,0.12154952888814813,0.6113452911376953,0.0877686764439966,0.5951589345932007,0.5128205128205128,0.5128205128205128,,,,,,,,,,
fedbn,0,1,conformal,1.3663901090621948,,,,,,,0.05,1.0,3.0,1.0,,,,,,
fedbn,0,1,conformal,1.3663901090621948,,,,,,,0.1,1.0,3.0,1.0,,,,,,
fedbn,0,1,conformal,1.3663901090621948,,,,,,,0.2,0.9914529914529915,2.8632478632478633,0.8807330131530762,,,,,,
fedbn,0,1,risk_cov,,,,,,,,,,,,0.5678612152191543,0.5344827586206896,0.5432098765432098,0.5161290322580645,0.49523809523809526,0.4954954954954955
fedbn,0,2,calib,0.7279826402664185,0.06206000981368414,0.06298719346523285,0.009841839319139005,0.059116706252098083,0.9653543307086614,0.9653543307086614,,,,,,,,,,
fedbn,0,2,conformal,0.7279826402664185,,,,,,,0.05,0.9968503937007874,2.374488188976378,0.9855470657348633,,,,,,
fedbn,0,2,conformal,0.7279826402664185,,,,,,,0.1,0.9965354330708661,2.161259842519685,0.9836916923522949,,,,,,
fedbn,0,2,conformal,0.7279826402664185,,,,,,,0.2,0.9959055118110236,1.9729133858267716,0.9818651080131531,,,,,,
fedbn,0,2,risk_cov,,,,,,,,,,,,0.9876868024813525,0.9911783238815375,0.9887488748874887,0.9885781803859788,0.9856492824641232,0.9791114058355438
fedbn,0,3,calib,0.8718417286872864,0.02534162010737285,0.3674337863922119,0.04223730646604233,0.3697393536567688,0.7385229540918163,0.7385229540918163,,,,,,,,,,
fedbn,0,3,conformal,0.8718417286872864,,,,,,,0.05,0.9886892880904857,3.9773785761809712,0.9788099527359009,,,,,,
fedbn,0,3,conformal,0.8718417286872864,,,,,,,0.1,0.9846972721224219,3.4550898203592815,0.9707117080688477,,,,,,
fedbn,0,3,conformal,0.8718417286872864,,,,,,,0.2,0.9773785761809713,2.87624750499002,0.9575987458229065,,,,,,
fedbn,0,3,risk_cov,,,,,,,,,,,,0.886555333340562,0.9027962716378163,0.8355513307984791,0.8044925124792013,0.761094674556213,0.7498248072880168
fedbn,0,4,calib,0.6643635630607605,0.08038196961085002,0.6157278418540955,0.07370600886642933,0.6038583517074585,0.5041666666666667,0.5041666666666667,,,,,,,,,,
fedbn,0,4,conformal,0.6643635630607605,,,,,,,0.05,0.9875,4.379166666666666,0.9673858880996704,,,,,,
fedbn,0,4,conformal,0.6643635630607605,,,,,,,0.1,0.975,3.9625,0.9434095621109009,,,,,,
fedbn,0,4,conformal,0.6643635630607605,,,,,,,0.2,0.9375,3.4291666666666667,0.9066047668457031,,,,,,
fedbn,0,4,risk_cov,,,,,,,,,,,,0.709287670640572,0.6722689075630253,0.5808383233532934,0.5654450261780105,0.5162790697674419,0.5110132158590308
