strategy,seed,client,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedua,0,0,calib,0.7909811735153198,0.07481790681680042,0.369640052318573,0.11030237724383672,0.3754110336303711,0.7166666666666667,0.7166666666666667,,,,,,,,,,
fedua,0,0,conformal,0.7909811735153198,,,,,,,0.05,1.0,3.7916666666666665,0.9907360672950745,,,,,,
fedua,0,0,conformal,0.7909811735153198,,,,,,,0.1,1.0,3.4,0.9819722771644592,,,,,,
fedua,0,0,conformal,0.7909811735153198,,,,,,,0.2,1.0,3.091666666666667,0.9721779823303223,,,,,,
fedua,0,0,risk_cov,,,,,,,,,,,,0.8872013231161056,0.8983050847457628,0.8433734939759037,0.8,0.7663551401869159,0.7522123893805309
fedua,0,1,calib,2379.536376953125,0.18607133105397222,0.4871920645236969,0.3262086436152458,0.6660619974136353,0.6625,0.6625,,,,,,,,,,
fedua,0,1,conformal,2379.536376953125,,,,,,,0.05,1.0,3.0,1.0,,,,,,
fedua,0,1,conformal,2379.536376953125,,,,,,,0.1,0.9875,2.925,0.6668720245361328,,,,,,
fedua,0,1,conformal,2379.536376953125,,,,,,,0.2,0.975,2.5625,0.6668095588684082,,,,,,
fedua,0,1,risk_cov,,,,,,,,,,,,0.7473418491169702,0.7948717948717948,0.7454545454545455,0.7142857142857143,0.676056338028169,0.6666666666666666
fedua,0,2,calib,-1769.003173828125,0.1480612896382809,0.5237830877304077,0.24178417722384135,0.7501887083053589,0.6166666666666667,0.008333333333333333,,,,,,,,,,
fedua,0,2,conformal,-1769.003173828125,,,,,,,0.05,1.0,4.0,1.0000001192092896,,,,,,
fedua,0,2,conformal,-1769.003173828125,,,,,,,0.1,1.0,4.0,1.0000001192092896,,,,,,
fedua,0,2,conformal,-1769.003173828125,,,,,,,0.2,1.0,4.0,1.0,,,,,,
fedua,0,2,risk_cov,,,,,,,,,,,,0.0031223461731470542,0.0,0.012048192771084338,0.010526315789473684,0.009345794392523364,0.008849557522123894
