strategy,seed,client,alpha,coverage,mean_set_size
fedbn,0,0,,,
fedbn,0,0,0.05,0.994375,2.604375
fedbn,0,0,0.1,0.994375,2.359375
fedbn,0,0,0.2,0.9925,2.08
fedbn,0,0,,,
fedbn,0,1,,,
fedbn,0,1,0.05,1.0,3.0
fedbn,0,1,0.1,1.0,3.0
fedbn,0,1,0.2,0.9914529914529916,2.8632478632478637
fedbn,0,1,,,
fedbn,0,2,,,
fedbn,0,2,0.05,0.9968503937007874,2.374488188976378
fedbn,0,2,0.1,0.996535433070866,2.161259842519685
fedbn,0,2,0.2,0.9959055118110236,1.972913385826772
fedbn,0,2,,,
fedbn,0,3,,,
fedbn,0,3,0.05,0.9886892880904856,3.9773785761809712
fedbn,0,3,0.1,0.984697272122422,3.455089820359281
fedbn,0,3,0.2,0.9773785761809712,2.87624750499002
fedbn,0,3,,,
fedbn,0,4,,,
fedbn,0,4,0.05,0.9875,4.379166666666666
fedbn,0,4,0.1,0.975,3.9625
fedbn,0,4,0.2,0.9375,3.4291666666666667
fedbn,0,4,,,
fedbn,1,0,0.05,0.9925,2.446875
fedbn,1,0,0.1,0.99125,2.17625
fedbn,1,0,0.2,0.989375,1.966875
fedbn,1,0,,,
fedbn,1,0,,,
fedbn,1,1,0.05,1.0,3.0
fedbn,1,1,0.1,1.0,3.0
fedbn,1,1,0.2,1.0,2.9743589743589745
fedbn,1,1,,,
fedbn,1,1,,,
fedbn,1,2,0.05,0.9959055118110236,2.356850393700787
fedbn,1,2,0.1,0.9955905511811024,2.1867716535433077
fedbn,1,2,0.2,0.9943307086614174,2.0022047244094487
fedbn,1,2,,,
fedbn,1,2,,,
fedbn,2,0,,,
fedbn,2,0,0.05,0.991875,2.251875
fedbn,2,0,0.1,0.99,2.078125
fedbn,2,0,0.2,0.988125,1.911875
fedbn,2,0,,,
fedbn,2,1,,,
fedbn,2,1,0.05,1.0,3.0
fedbn,2,1,0.1,1.0,3.0
fedbn,2,1,0.2,0.9914529914529916,2.8376068376068377
fedbn,2,1,,,
fedbn,2,2,,,
fedbn,2,2,0.05,0.9930708661417322,2.188031496062992
fedbn,2,2,0.1,0.9921259842519684,2.054173228346457
fedbn,2,2,0.2,0.991496062992126,1.9332283464566928
fedbn,2,2,,,
fedua,0,0,,,
fedua,0,0,0.05,1.0,3.7916666666666665
fedua,0,0,0.1,1.0,3.4
fedua,0,0,0.2,1.0,3.091666666666667
fedua,0,0,,,
fedua,0,1,,,
fedua,0,1,0.05,1.0,3.0
fedua,0,1,0.1,0.9875,2.925
fedua,0,1,0.2,0.975,2.5625
fedua,0,1,,,
fedua,0,2,,,
fedua,0,2,0.05,1.0,4.0
fedua,0,2,0.1,1.0,4.0
fedua,0,2,0.2,1.0,4.0
fedua,0,2,,,
fedua,1,0,,,
fedua,1,0,0.05,0.995,2.331875
fedua,1,0,0.1,0.99375,2.133125
fedua,1,0,0.2,0.9925,1.95875
fedua,1,0,,,
fedua,1,1,,,
fedua,1,1,0.05,1.0,3.0
fedua,1,1,0.1,1.0,2.717948717948718
fedua,1,1,0.2,1.0,2.47008547008547
fedua,1,1,,,
fedua,1,2,,,
fedua,1,2,0.05,0.9977952755905511,2.5061417322834645
fedua,1,2,0.1,0.9968503937007874,2.2636220472440947
fedua,1,2,0.2,0.9955905511811024,2.0270866141732284
fedua,1,2,,,
fedua,2,0,,,
fedua,2,0,0.05,0.991875,2.738125
fedua,2,0,0.1,0.989375,2.500625
fedua,2,0,0.2,0.98875,2.12625
fedua,2,0,,,
fedua,2,1,,,
fedua,2,1,0.05,1.0,3.0
fedua,2,1,0.1,0.9914529914529916,2.547008547008547
fedua,2,1,0.2,0.9914529914529916,2.213675213675214
fedua,2,1,,,
fedua,2,2,,,
fedua,2,2,0.05,0.9996850393700788,2.5700787401574803
fedua,2,2,0.1,0.9993700787401576,2.4415748031496065
fedua,2,2,0.2,0.998740157480315,2.2406299212598424
fedua,2,2,,,
