strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
ditto,1,0,Hospital_A (Brain-Tumor MRI),calib,0.5781980156898499,0.06343935851007695,0.06501129269599915,0.02411401256918912,0.06493078917264938,0.963125,0.963125,,,,,,,,,,
ditto,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5781980156898499,,,,,,,0.05,0.988125,2.33,0.9959271550178528,,,,,,
ditto,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5781980156898499,,,,,,,0.1,0.98625,2.13375,0.9954748749732971,,,,,,
ditto,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5781980156898499,,,,,,,0.2,0.984375,1.926875,0.9949512481689453,,,,,,
ditto,1,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9864885556744099,0.9912390488110138,0.9910634495084897,0.9906176700547302,0.9881862404447533,0.9848584595128373
ditto,1,1,Hospital_B (Breast Ultrasound),calib,1.064042091369629,0.05499207107429829,0.1411629021167755,0.06455244314976231,0.1410747617483139,0.8974358974358975,0.8974358974358975,,,,,,,,,,
ditto,1,1,Hospital_B (Breast Ultrasound),conformal,1.064042091369629,,,,,,,0.05,1.0,2.735042735042735,0.9701290130615234,,,,,,
ditto,1,1,Hospital_B (Breast Ultrasound),conformal,1.064042091369629,,,,,,,0.1,1.0,2.1880341880341883,0.956699788570404,,,,,,
ditto,1,1,Hospital_B (Breast Ultrasound),conformal,1.064042091369629,,,,,,,0.2,1.0,1.9658119658119657,0.9450107216835022,,,,,,
ditto,1,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.9632573848813757,0.9827586206896551,0.9629629629629629,0.967741935483871,0.9523809523809523,0.9279279279279279
ditto,1,2,Hospital_C (COVID-19 X-Ray),calib,0.7351802587509155,0.05967876763794365,0.07937845587730408,0.01227086511183908,0.07684484124183655,0.952755905511811,0.952755905511811,,,,,,,,,,
ditto,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.7351802587509155,,,,,,,0.05,0.9940157480314961,2.468976377952756,0.9850947856903076,,,,,,
ditto,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.7351802587509155,,,,,,,0.1,0.9930708661417322,2.2333858267716535,0.983036458492279,,,,,,
ditto,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.7351802587509155,,,,,,,0.2,0.9918110236220472,1.9896062992125985,0.9805384874343872,,,,,,
ditto,1,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9775382141097131,0.982356647763075,0.9824482448244825,0.9814887751083103,0.9793489674483724,0.971816976127321
