strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedbn,2,0,Hospital_A (Brain-Tumor MRI),calib,0.5865644216537476,0.056143528409302215,0.05983646214008331,0.02127205580472948,0.058445874601602554,0.968125,0.968125,,,,,,,,,,
fedbn,2,0,Hospital_A (Brain-Tumor MRI),conformal,0.5865644216537476,,,,,,,0.05,0.991875,2.1625,0.9956550598144531,,,,,,
fedbn,2,0,Hospital_A (Brain-Tumor MRI),conformal,0.5865644216537476,,,,,,,0.1,0.98875,2.046875,0.9953092932701111,,,,,,
fedbn,2,0,Hospital_A (Brain-Tumor MRI),conformal,0.5865644216537476,,,,,,,0.2,0.986875,1.881875,0.9948268532752991,,,,,,
fedbn,2,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9816032045449592,0.9899874843554443,0.9919571045576407,0.9921813917122753,0.9888811674774148,0.9835418038183015
fedbn,2,1,Hospital_B (Breast Ultrasound),calib,1.015621542930603,0.15964176868781066,0.5544677376747131,0.17113139053695223,0.5534508228302002,0.5299145299145299,0.5299145299145299,,,,,,,,,,
fedbn,2,1,Hospital_B (Breast Ultrasound),conformal,1.015621542930603,,,,,,,0.05,1.0,3.0,1.0,,,,,,
fedbn,2,1,Hospital_B (Breast Ultrasound),conformal,1.015621542930603,,,,,,,0.1,1.0,3.0,0.9999999403953552,,,,,,
fedbn,2,1,Hospital_B (Breast Ultrasound),conformal,1.015621542930603,,,,,,,0.2,1.0,2.786324786324786,0.933838427066803,,,,,,
fedbn,2,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.7105627749053292,0.6379310344827587,0.5802469135802469,0.5698924731182796,0.5523809523809524,0.5315315315315315
fedbn,2,2,Hospital_C (COVID-19 X-Ray),calib,0.7375989556312561,0.05934266540009207,0.08320926874876022,0.013136705620082303,0.08274746686220169,0.9499212598425197,0.9499212598425197,,,,,,,,,,
fedbn,2,2,Hospital_C (COVID-19 X-Ray),conformal,0.7375989556312561,,,,,,,0.05,0.9946456692913386,2.1741732283464565,0.9827932119369507,,,,,,
fedbn,2,2,Hospital_C (COVID-19 X-Ray),conformal,0.7375989556312561,,,,,,,0.1,0.9930708661417322,2.071496062992126,0.9813931584358215,,,,,,
fedbn,2,2,Hospital_C (COVID-19 X-Ray),conformal,0.7375989556312561,,,,,,,0.2,0.9921259842519685,1.9307086614173228,0.980046808719635,,,,,,
fedbn,2,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9877671875867753,0.9930686830497795,0.991899189918992,0.98779046868846,0.9803990199509975,0.9704907161803713
