strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedua,1,0,Hospital_A (Brain-Tumor MRI),calib,0.6037856340408325,0.06381077129393814,0.07255663722753525,0.028261270057410047,0.07384784519672394,0.95875,0.95875,,,,,,,,,,
fedua,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.6037856340408325,,,,,,,0.05,0.985625,2.330625,0.9947071671485901,,,,,,
fedua,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.6037856340408325,,,,,,,0.1,0.985,2.165,0.9942722320556641,,,,,,
fedua,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.6037856340408325,,,,,,,0.2,0.98375,1.963125,0.9936659932136536,,,,,,
fedua,1,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9824308040754675,0.9849812265331664,0.9848078641644326,0.9827990617670055,0.9826268241834607,0.9828834759710335
fedua,1,1,Hospital_B (Breast Ultrasound),calib,1.1691862344741821,0.0761333268422347,0.20188362896442413,0.10056914554701908,0.20207779109477997,0.8461538461538461,0.8461538461538461,,,,,,,,,,
fedua,1,1,Hospital_B (Breast Ultrasound),conformal,1.1691862344741821,,,,,,,0.05,1.0,3.0,1.0,,,,,,
fedua,1,1,Hospital_B (Breast Ultrasound),conformal,1.1691862344741821,,,,,,,0.1,1.0,2.5811965811965814,0.9584201574325562,,,,,,
fedua,1,1,Hospital_B (Breast Ultrasound),conformal,1.1691862344741821,,,,,,,0.2,1.0,2.0683760683760686,0.9304612874984741,,,,,,
fedua,1,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.9459815265007877,0.9482758620689655,0.9506172839506173,0.946236559139785,0.8952380952380953,0.8738738738738738
fedua,1,2,Hospital_C (COVID-19 X-Ray),calib,0.7453850507736206,0.05434770990544415,0.08571896702051163,0.012505694421257518,0.08490345627069473,0.9496062992125984,0.9496062992125984,,,,,,,,,,
fedua,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.7453850507736206,,,,,,,0.05,0.9965354330708661,2.177952755905512,0.9821266531944275,,,,,,
fedua,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.7453850507736206,,,,,,,0.1,0.9965354330708661,2.0721259842519686,0.9808206558227539,,,,,,
fedua,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.7453850507736206,,,,,,,0.2,0.9962204724409449,1.9351181102362205,0.9793410897254944,,,,,,
fedua,1,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9902145189589787,0.9936988027725268,0.9905490549054905,0.9858211894446632,0.9782989149457473,0.9661803713527851
