strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
local_only,0,0,Hospital_A (Brain-Tumor MRI),calib,0.5397854447364807,0.05036432078108195,0.07298801094293594,0.03321538608521222,0.07430717349052429,0.96125,0.96125,,,,,,,,,,
local_only,0,0,Hospital_A (Brain-Tumor MRI),conformal,0.5397854447364807,,,,,,,0.05,0.98375,1.9925,0.9970932006835938,,,,,,
local_only,0,0,Hospital_A (Brain-Tumor MRI),conformal,0.5397854447364807,,,,,,,0.1,0.983125,1.925625,0.9969345331192017,,,,,,
local_only,0,0,Hospital_A (Brain-Tumor MRI),conformal,0.5397854447364807,,,,,,,0.2,0.981875,1.846875,0.9967707395553589,,,,,,
local_only,0,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9575918804847168,0.967459324155194,0.9731903485254692,0.9741985926505082,0.9756775538568451,0.9756418696510862
local_only,0,1,Hospital_B (Breast Ultrasound),calib,1.0017400979995728,0.04599684425908275,0.17747370898723602,0.04627129257234755,0.17746952176094055,0.8974358974358975,0.8974358974358975,,,,,,,,,,
local_only,0,1,Hospital_B (Breast Ultrasound),conformal,1.0017400979995728,,,,,,,0.05,1.0,2.9743589743589745,0.9774811863899231,,,,,,
local_only,0,1,Hospital_B (Breast Ultrasound),conformal,1.0017400979995728,,,,,,,0.1,0.9658119658119658,2.0598290598290596,0.9499461650848389,,,,,,
local_only,0,1,Hospital_B (Breast Ultrasound),conformal,1.0017400979995728,,,,,,,0.2,0.9572649572649573,1.9487179487179487,0.9416653513908386,,,,,,
local_only,0,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.9353157602035198,0.9655172413793104,0.9382716049382716,0.946236559139785,0.9238095238095239,0.9099099099099099
local_only,0,2,Hospital_C (COVID-19 X-Ray),calib,0.7603322863578796,0.05680198294909921,0.06758151948451996,0.012330103371087028,0.0662665143609047,0.9593700787401575,0.9593700787401575,,,,,,,,,,
local_only,0,2,Hospital_C (COVID-19 X-Ray),conformal,0.7603322863578796,,,,,,,0.05,0.9940157480314961,2.1593700787401575,0.9822668433189392,,,,,,
local_only,0,2,Hospital_C (COVID-19 X-Ray),conformal,0.7603322863578796,,,,,,,0.1,0.9937007874015747,2.0318110236220472,0.9806814789772034,,,,,,
local_only,0,2,Hospital_C (COVID-19 X-Ray),conformal,0.7603322863578796,,,,,,,0.2,0.9930708661417322,1.8900787401574803,0.9787415862083435,,,,,,
local_only,0,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9833984981560573,0.9836168872085697,0.9837983798379838,0.9826703426545884,0.9817990899544977,0.9794429708222812
