seed,strategy,client,client_name,acc,f1,mcc,auc,ece,brier,precision,recall
0,fedua,0,Hospital_A (Brain-Tumor MRI),0.955,0.9540906554258096,0.9414313773854308,0.9798354166666668,0.0491811860650613,0.0833542899761181,0.9578257237530146,0.955
0,fedua,1,Hospital_B (Breast Ultrasound),0.8376068376068376,0.8249738766980147,0.7241294353063744,0.892473806502541,0.1159611747173806,0.2777585994696889,0.8218294051627385,0.835190615835777
0,fedua,2,Hospital_C (COVID-19 X-Ray),0.9603149606299212,0.964554210851898,0.93928658770443,0.993043762982916,0.0614977769768626,0.070451773673873,0.9702827303828394,0.959326087313156
0,ditto,0,Hospital_A (Brain-Tumor MRI),0.959375,0.958640795958664,0.9469590094258342,0.9841822916666668,0.0533232441838735,0.0702135616194824,0.961498519430365,0.959375
0,ditto,1,Hospital_B (Breast Ultrasound),0.8376068376068376,0.8292766373411534,0.7211490215755143,0.9387127403409066,0.0720183651602611,0.2193873885011568,0.8292766373411534,0.8292766373411534
0,ditto,2,Hospital_C (COVID-19 X-Ray),0.9618897637795276,0.9680075920632802,0.9416675684775282,0.9908853851557076,0.0548109938512474,0.066484146126734,0.9704483936982756,0.9656438656950144
0,local_only,0,Hospital_A (Brain-Tumor MRI),0.96125,0.9606349690956666,0.9491543113872454,0.9812364583333334,0.0503643548602664,0.072988011889783,0.9626377644250712,0.96125
0,local_only,1,Hospital_B (Breast Ultrasound),0.8974358974358975,0.883554292929293,0.828654513390604,0.9549260796831788,0.0459968490289496,0.177473729744592,0.8767281105990784,0.8931410883023786
0,local_only,2,Hospital_C (COVID-19 X-Ray),0.9593700787401576,0.9653851126420816,0.9378690552599812,0.9911922645624824,0.0568020140031077,0.0675815140864932,0.9661467313865868,0.9646495735414976
0,fedbabu,0,Hospital_A (Brain-Tumor MRI),0.960625,0.9599392987744606,0.9485162472220748,0.9876166666666666,0.0590237895629256,0.0714192135324261,0.9625388301945595,0.960625
0,fedbabu,1,Hospital_B (Breast Ultrasound),0.6752136752136753,0.6514176663031624,0.4447954175030499,0.8498010677179711,0.1030865606705536,0.4110349721351519,0.6503205128205128,0.6526392961876833
0,fedbabu,2,Hospital_C (COVID-19 X-Ray),0.9584251968503936,0.962850368133118,0.9364688899532492,0.9933396616829524,0.0584964275116356,0.0722361660483351,0.9634424192051804,0.9623357861009338
0,fedprox,0,Hospital_A (Brain-Tumor MRI),0.960625,0.9599921809754348,0.9485068408577068,0.9879494791666666,0.0569907692141342,0.0682057916769307,0.96256292715803,0.960625
0,fedprox,1,Hospital_B (Breast Ultrasound),0.5470085470085471,0.5014320482451066,0.2190555066981093,0.7053704070332167,0.1206290508357391,0.5561375598596969,0.4984097317856908,0.5080319322254806
0,fedprox,2,Hospital_C (COVID-19 X-Ray),0.9609448818897638,0.9661988675285724,0.9402016867505688,0.9902425491964758,0.0498050351907259,0.069048002325693,0.9701659721753072,0.9623584030312196
0,fedavg,0,Hospital_A (Brain-Tumor MRI),0.95625,0.9554672503630156,0.9428740237838086,0.9895411458333332,0.0624184419194773,0.0739806314170388,0.9585412836925636,0.95625
0,fedavg,1,Hospital_B (Breast Ultrasound),0.4871794871794871,0.4536041417761847,0.1710446705705801,0.6669485065338653,0.1511997163426252,0.6140431346137942,0.4467210839024931,0.4961225154773541
0,fedavg,2,Hospital_C (COVID-19 X-Ray),0.9596850393700788,0.9636525393164797,0.9382375672419372,0.9911968137034296,0.0553146656485497,0.0700274599895426,0.9696950688969854,0.9579409612582293
0,fedbn,0,Hospital_A (Brain-Tumor MRI),0.95625,0.9554764584362097,0.9429675823650708,0.9875369791666666,0.059571673458047,0.0707454312431744,0.9589077662460722,0.95625
0,fedbn,1,Hospital_B (Breast Ultrasound),0.5811965811965812,0.5098817089698549,0.2697705330582201,0.742363345873191,0.114281417328423,0.528163289134263,0.5422458001768347,0.5343597262952101
0,fedbn,2,Hospital_C (COVID-19 X-Ray),0.9609448818897638,0.9655274234786404,0.9402138304718348,0.988687190660016,0.0555561054939095,0.0685487049035588,0.9691743472711132,0.9620446507112242
0,centralized,0,Hospital_A (Brain-Tumor MRI),0.964375,0.9639506380413266,0.9535031959437232,0.9829572916666668,0.0641565848499184,0.0671765010584429,0.9666581696965332,0.964375
0,centralized,1,Hospital_B (Breast Ultrasound),0.8717948717948718,0.867337557767179,0.7789292421701282,0.945538326759686,0.0420798960876881,0.2231391127125377,0.869514472455649,0.8670087976539588
0,centralized,2,Hospital_C (COVID-19 X-Ray),0.9653543307086614,0.9703067413770966,0.9469749509798416,0.9953784064939032,0.0843096001760744,0.0623165760747191,0.9728777124939634,0.9678266156127684
0,centralized,pooled,Pooled (11 cls),0.9627964022894522,0.9399129264522936,0.955114580870296,0.9928976175360652,0.0731985749868247,0.0677524135155578,0.9424260860117212,0.9390757141284504
1,fedua,0,Hospital_A (Brain-Tumor MRI),0.95875,0.9580019147305713,0.9461019635679354,0.9861645833333333,0.06381081925635784,0.0725566362126231,0.9608071534129107,0.95875
1,fedua,1,Hospital_B (Breast Ultrasound),0.8461538461538461,0.8268444175124982,0.7498933196858573,0.9627925985864364,0.07613324378106907,0.20188363063492662,0.8140303312717106,0.845673076923077
1,fedua,2,Hospital_C (COVID-19 X-Ray),0.9496062992125984,0.9512478322399813,0.9230126828950377,0.9917274243582462,0.05434768352736409,0.08571895722049744,0.9556918403603947,0.9473141974651264
1,ditto,0,Hospital_A (Brain-Tumor MRI),0.963125,0.962698546317868,0.9515735688224262,0.9879322916666665,0.06343937909485808,0.06501128832614554,0.9646450029748765,0.963125
1,ditto,1,Hospital_B (Breast Ultrasound),0.8974358974358975,0.8814441372580907,0.8261375786662158,0.9748923575103193,0.05499205767434679,0.14116289832021292,0.8821110681114551,0.8817307692307693
1,ditto,2,Hospital_C (COVID-19 X-Ray),0.952755905511811,0.9535835070540402,0.9278651834520769,0.9886144489219637,0.059678837996386014,0.07937845464050751,0.9544289860107233,0.9531912726560455
1,local_only,0,Hospital_A (Brain-Tumor MRI),0.96625,0.9657557523827862,0.9558925831443018,0.9897114583333333,0.06340181210084522,0.06448702103415244,0.9680622733747734,0.96625
1,local_only,1,Hospital_B (Breast Ultrasound),0.9145299145299145,0.9018454106280194,0.8601504368646576,0.9565039343072067,0.02808429474427738,0.15408331239810358,0.893843843843844,0.9141025641025641
1,local_only,2,Hospital_C (COVID-19 X-Ray),0.9565354330708662,0.9614336739864747,0.9335030595275852,0.9882011331890506,0.05262333444544231,0.07764200129000558,0.9636857868623352,0.9593313859661465
1,fedbabu,0,Hospital_A (Brain-Tumor MRI),0.96125,0.9606350785289762,0.9492360311773602,0.9848494791666668,0.05975996019504616,0.0686485168806473,0.9629234967828131,0.96125
1,fedbabu,1,Hospital_B (Breast Ultrasound),0.7863247863247863,0.7780626780626781,0.6734739421244876,0.9409003185242865,0.09175100421024096,0.2951224688200913,0.7618249805749806,0.8285256410256411
1,fedbabu,2,Hospital_C (COVID-19 X-Ray),0.9546456692913385,0.9588653557865433,0.9306714654032967,0.9901066395179272,0.061018911429928116,0.07905623951303403,0.9594429638757217,0.9585119986805876
1,fedprox,0,Hospital_A (Brain-Tumor MRI),0.961875,0.9613389799599574,0.9500830480427611,0.9881489583333334,0.062359989311917066,0.06823406357195001,0.9637252442265195,0.961875
1,fedprox,1,Hospital_B (Breast Ultrasound),0.5897435897435898,0.5402194167660294,0.31287938757221834,0.7673035507743022,0.0947306994845594,0.5061202386808825,0.5689064558629776,0.5745192307692307
1,fedprox,2,Hospital_C (COVID-19 X-Ray),0.9543307086614173,0.9558687154159801,0.9300585069464096,0.9879544441310013,0.05382757334521671,0.08116746837506962,0.9616595221297459,0.9504614801990511
1,fedavg,0,Hospital_A (Brain-Tumor MRI),0.965,0.9645460895563898,0.9539118177791458,0.9869682291666666,0.05758558604067735,0.06454100426761042,0.9659107062092136,0.9650000000000001
1,fedavg,1,Hospital_B (Breast Ultrasound),0.5726495726495726,0.558433659301004,0.36783854572286956,0.8186490482546951,0.08611952594080431,0.508103374809487,0.5828363421448528,0.6253205128205128
1,fedavg,2,Hospital_C (COVID-19 X-Ray),0.9555905511811024,0.9586410541489283,0.9320740532137176,0.9884773474356149,0.055698326046480895,0.07734939335820805,0.9636610173105258,0.9540673245820324
1,fedbn,0,Hospital_A (Brain-Tumor MRI),0.9625,0.9617921951165171,0.9510472238465919,0.9864302083333333,0.06135132979397961,0.06707047172655796,0.9644496771450062,0.9625
1,fedbn,1,Hospital_B (Breast Ultrasound),0.5726495726495726,0.5453863596720739,0.3441738311686556,0.7208568967146428,0.13887019133237066,0.5719432749877603,0.5793226381461675,0.6094551282051283
1,fedbn,2,Hospital_C (COVID-19 X-Ray),0.952755905511811,0.9565634783574921,0.9277089290442725,0.9907000607310252,0.05756466822268817,0.08161738500091159,0.9580967460656539,0.9551009831323601
1,centralized,0,Hospital_A (Brain-Tumor MRI),0.958125,0.9572933805669094,0.945334778339546,0.9839656250000001,0.06611949877285037,0.07514757233807973,0.9602950861701507,0.958125
