strategy,alpha,target_coverage,empirical_coverage,coverage_std,mean_set_size,set_size_std,qhat_mean
ditto,0.05,95%,0.9934477514562816,0.004938110678232365,2.468798441460843,0.2642840840641872,0.9868979652722677
ditto,0.1,90%,0.9900060101995797,0.005977648463754001,2.148624038181125,0.07958289908187836,0.9819273749987284
ditto,0.2,80%,0.9880458438955814,0.007548515868881207,1.9550054633929304,0.04987147795373574,0.9783443941010369
fedavg,0.05,95%,0.9943219597550306,0.004993415888332937,2.5152936351706034,0.3927172317783873,0.911684383948644
fedavg,0.1,90%,0.9935553368328959,0.005460766562077019,2.403548775153106,0.4577691016548214,0.9111043910185496
fedavg,0.2,80%,0.9907154941636569,0.004244693055777611,2.2312447282230745,0.44076993840563433,0.8779014613893297
fedbabu,0.05,95%,0.9942557961504812,0.005299483846783764,2.5362904636920387,0.3613896936922749,0.9933116634686788
fedbabu,0.1,90%,0.9935947069116361,0.005834668847187414,2.3291100932095024,0.3546122586782786,0.9876529574394226
fedbabu,0.2,80%,0.9897718414204635,0.004365382916973107,2.0792928387957916,0.19583446987699094,0.9756239718861051
fedbn,0.05,95%,0.995090769903762,0.004216846411502985,2.548867016622922,0.3566114507299471,0.9933299091127183
fedbn,0.1,90%,0.9942541557305336,0.0047264608811438446,2.432887685914261,0.43324540333667755,0.992618978023529
fedbn,0.2,80%,0.9929658792650918,0.0058577717868373985,2.2631548874232603,0.46453131153579647,0.9672034117910597
fedprox,0.05,95%,0.9944635826771654,0.0046526523363665945,2.5385870516185474,0.3612287511207338,0.9931986663076613
fedprox,0.1,90%,0.9939747375328084,0.004870265447068427,2.4301602143482066,0.43734759588924893,0.9924705558353
fedprox,0.2,80%,0.9918740419199737,0.004970123764717914,2.265753167739716,0.4494916992289368,0.9655952652295431
fedua,0.05,95%,0.9926144181229483,0.006327836133956365,2.5398865352835167,0.3481404299754638,0.9929472274250455
fedua,0.1,90%,0.9900889892769814,0.009157086057351856,2.2459215514727324,0.18396353752261688,0.9805793232387967
fedua,0.2,80%,0.9866477948269287,0.015974363551114056,2.0048261528740534,0.08584915940652368,0.9740138252576193
local_only,0.05,95%,0.9893896235726944,0.008770956378359193,2.302141748173572,0.3963913999115541,0.9828145106633505
local_only,0.1,90%,0.9833083064136213,0.010901879872013721,2.0122553390762055,0.0711623712477899,0.9759341014756097
local_only,0.2,80%,0.9808506815921514,0.012040347948395591,1.8906769232638656,0.04827049689380641,0.9704753359158834
