strategy,client,client_name,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,auc_mean,auc_std,ece_mean,ece_std,brier_mean,brier_std
centralized,0,Hospital A (Brain-Tumor MRI),0.961875,0.0033071891388307306,0.9612691552273395,0.003512287403957365,0.950197426024482,0.004301007186932381,0.9860397569444445,0.004494113395537516,0.06578471474015181,0.001489233157572039,0.07031797337294943,0.004245211776539804
centralized,1,Hospital B (Breast Ultrasound),0.8831908831908833,0.03558403417890836,0.8790745318828576,0.03141406261544243,0.8034424568928337,0.05924477766444826,0.9628913225015122,0.016570911623572753,0.07328620417239773,0.027138617718361607,0.1853449558802589,0.061942083559654325
centralized,2,Hospital C (COVID-19 X-Ray),0.959790026246719,0.0050229390924538255,0.9645650568329632,0.005097210895531485,0.9384952920928077,0.0076529890900768945,0.9946985795549989,0.0006234716869403774,0.0795011067117303,0.004316800373707232,0.07031973786250494,0.007063711763501923
centralized,pooled,Pooled (11 cls),0.9586399563913873,0.003715264617120623,0.9400509494445258,0.007556931222900486,0.9501104706695142,0.004476483805769797,0.9912516797588348,0.005217268901954936,0.07225950465297126,0.0019486547930741218,0.073070172720393,0.004729471507580243
ditto,0,Hospital A (Brain-Tumor MRI),0.9624999999999999,0.0028641098093473995,0.9619820462981964,0.0030468541441315915,0.9508741755469737,0.00361655026958886,0.9861465277777777,0.001881359681341646,0.05790323269749916,0.005125399965688403,0.0663842345837013,0.003360248019174724
ditto,1,Hospital B (Breast Ultrasound),0.8860398860398861,0.043859841362793944,0.8766997069875551,0.04523783489654786,0.807989004974493,0.07933808420723579,0.9607999529511663,0.019369535137990467,0.06316412680609813,0.00853362776240154,0.16676790323563473,0.04557526003718038
ditto,2,Hospital C (COVID-19 X-Ray),0.9533858267716534,0.008207127068217605,0.9580589037591626,0.00863025189575419,0.9288421415379515,0.012365925712641168,0.9905602968577977,0.0018053903171824349,0.0592735384377259,0.004274330891163888,0.07779780740768594,0.0106119965066862
fedavg,0,Hospital A (Brain-Tumor MRI),0.9627083333333334,0.0056711073286734,0.9621841784862349,0.005901776039816129,0.9511001453227864,0.0072419208931108784,0.9883857638888888,0.0013063376679003059,0.059964396390374174,0.0024173061939849775,0.0671324756149893,0.005988836455442088
fedavg,1,Hospital B (Breast Ultrasound),0.5356125356125355,0.04385984136279391,0.47913311466282865,0.07011307568916202,0.24723142059308992,0.10564958408752316,0.7322162583179135,0.07803353586505805,0.11740029946799313,0.03261311804961357,0.5611500871677743,0.05297004706933462
fedavg,2,Hospital C (COVID-19 X-Ray),0.9556955380577428,0.003938057602837015,0.9604667659139071,0.0027687671696420176,0.9322278506244825,0.005934312817039074,0.9902231373984467,0.0015152537150336688,0.05665558622073027,0.0019995061597008015,0.07647529418072156,0.0060582644846474435
