strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
ditto,0,0,Hospital_A (Brain-Tumor MRI),calib,0.5273390412330627,0.05907872334122657,0.06837083399295807,0.03191664930433031,0.07079258561134338,0.961875,0.961875,,,,,,,,,,
ditto,0,0,Hospital_A (Brain-Tumor MRI),conformal,0.5273390412330627,,,,,,,0.05,0.985,2.255,0.9979836940765381,,,,,,
ditto,0,0,Hospital_A (Brain-Tumor MRI),conformal,0.5273390412330627,,,,,,,0.1,0.98375,2.124375,0.9978440999984741,,,,,,
ditto,0,0,Hospital_A (Brain-Tumor MRI),conformal,0.5273390412330627,,,,,,,0.2,0.98375,1.914375,0.9975747466087341,,,,,,
ditto,0,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9775223929864325,0.983729662077597,0.9821268990169795,0.983580922595778,0.9812369701181376,0.9802501645819618
ditto,0,1,Hospital_B (Breast Ultrasound),calib,0.8419082164764404,0.06885105957332839,0.17604856193065643,0.05187557191930265,0.1790299117565155,0.8888888888888888,0.8888888888888888,,,,,,,,,,
ditto,0,1,Hospital_B (Breast Ultrasound),conformal,0.8419082164764404,,,,,,,0.05,1.0,3.0,0.9999999403953552,,,,,,
ditto,0,1,Hospital_B (Breast Ultrasound),conformal,0.8419082164764404,,,,,,,0.1,0.9829059829059829,2.264957264957265,0.9787390828132629,,,,,,
ditto,0,1,Hospital_B (Breast Ultrasound),conformal,0.8419082164764404,,,,,,,0.2,0.9829059829059829,2.0427350427350426,0.9734276533126831,,,,,,
ditto,0,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.9507982542288919,0.9655172413793104,0.9506172839506173,0.946236559139785,0.9238095238095239,0.9009009009009009
ditto,0,2,Hospital_C (COVID-19 X-Ray),calib,0.7144534587860107,0.05896116318665154,0.06909459829330444,0.005702427916639455,0.06517580151557922,0.9615748031496063,0.9615748031496063,,,,,,,,,,
ditto,0,2,Hospital_C (COVID-19 X-Ray),conformal,0.7144534587860107,,,,,,,0.05,0.9977952755905511,2.494803149606299,0.9887097477912903,,,,,,
ditto,0,2,Hospital_C (COVID-19 X-Ray),conformal,0.7144534587860107,,,,,,,0.1,0.9971653543307086,2.2696062992125983,0.9870254397392273,,,,,,
ditto,0,2,Hospital_C (COVID-19 X-Ray),conformal,0.7144534587860107,,,,,,,0.2,0.9968503937007874,2.03244094488189,0.9849854707717896,,,,,,
ditto,0,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9885208926934032,0.9899180844360429,0.9891989198919892,0.9873966128397007,0.9810990549527476,0.975132625994695
