strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedavg,0,0,Hospital_A (Brain-Tumor MRI),calib,0.5446597337722778,0.05471880920231348,0.07086693495512009,0.032638815045356796,0.07317650318145752,0.96,0.96,,,,,,,,,,
fedavg,0,0,Hospital_A (Brain-Tumor MRI),conformal,0.5446597337722778,,,,,,,0.05,0.9875,2.41,0.9976779818534851,,,,,,
fedavg,0,0,Hospital_A (Brain-Tumor MRI),conformal,0.5446597337722778,,,,,,,0.1,0.986875,2.195625,0.997422456741333,,,,,,
fedavg,0,0,Hospital_A (Brain-Tumor MRI),conformal,0.5446597337722778,,,,,,,0.2,0.983125,1.919375,0.9970512390136719,,,,,,
fedavg,0,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9833832497442947,0.983729662077597,0.9865951742627346,0.9874902267396404,0.9833217512161223,0.9802501645819618
fedavg,0,1,Hospital_B (Breast Ultrasound),calib,1.0432801246643066,0.09758282217205082,0.2467370480298996,0.0976029502020942,0.24490272998809814,0.8290598290598291,0.8290598290598291,,,,,,,,,,
fedavg,0,1,Hospital_B (Breast Ultrasound),conformal,1.0432801246643066,,,,,,,0.05,1.0,2.8376068376068377,0.9780425429344177,,,,,,
fedavg,0,1,Hospital_B (Breast Ultrasound),conformal,1.0432801246643066,,,,,,,0.1,1.0,2.358974358974359,0.9659110903739929,,,,,,
fedavg,0,1,Hospital_B (Breast Ultrasound),conformal,1.0432801246643066,,,,,,,0.2,0.9914529914529915,1.982905982905983,0.9477439522743225,,,,,,
fedavg,0,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.9321978021411912,0.9655172413793104,0.9382716049382716,0.9139784946236559,0.8571428571428571,0.8468468468468469
fedavg,0,2,Hospital_C (COVID-19 X-Ray),calib,0.7014968991279602,0.06150472527413854,0.06445445120334625,0.011331114205788395,0.06066785752773285,0.9622047244094488,0.9622047244094488,,,,,,,,,,
fedavg,0,2,Hospital_C (COVID-19 X-Ray),conformal,0.7014968991279602,,,,,,,0.05,0.9981102362204725,2.474015748031496,0.9897412061691284,,,,,,
fedavg,0,2,Hospital_C (COVID-19 X-Ray),conformal,0.7014968991279602,,,,,,,0.1,0.9981102362204725,2.272755905511811,0.9884282946586609,,,,,,
fedavg,0,2,Hospital_C (COVID-19 X-Ray),conformal,0.7014968991279602,,,,,,,0.2,0.9968503937007874,1.9977952755905513,0.9864395260810852,,,,,,
fedavg,0,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9899006965931765,0.9918084436042848,0.9923492349234924,0.9905474596297755,0.9863493174658733,0.9787798408488063
