strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedbabu,2,0,Hospital_A (Brain-Tumor MRI),calib,0.5801274180412292,0.06401923913508656,0.06750500947237015,0.02743413776159289,0.06826602667570114,0.9625,0.9625,,,,,,,,,,
fedbabu,2,0,Hospital_A (Brain-Tumor MRI),conformal,0.5801274180412292,,,,,,,0.05,0.98625,2.095,0.9951318502426147,,,,,,
fedbabu,2,0,Hospital_A (Brain-Tumor MRI),conformal,0.5801274180412292,,,,,,,0.1,0.985625,2.001875,0.9948543906211853,,,,,,
fedbabu,2,0,Hospital_A (Brain-Tumor MRI),conformal,0.5801274180412292,,,,,,,0.2,0.985625,1.883125,0.994504988193512,,,,,,
fedbabu,2,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9844750412320331,0.9912390488110138,0.9883824843610366,0.9867083659108679,0.9847116052814454,0.9828834759710335
fedbabu,2,1,Hospital_B (Breast Ultrasound),calib,0.9519580602645874,0.06855855232630019,0.1908864676952362,0.060511078590001835,0.19141022861003876,0.8547008547008547,0.8547008547008547,,,,,,,,,,
fedbabu,2,1,Hospital_B (Breast Ultrasound),conformal,0.9519580602645874,,,,,,,0.05,1.0,2.9316239316239314,0.9821054935455322,,,,,,
fedbabu,2,1,Hospital_B (Breast Ultrasound),conformal,0.9519580602645874,,,,,,,0.1,0.9914529914529915,2.1794871794871793,0.9639543294906616,,,,,,
fedbabu,2,1,Hospital_B (Breast Ultrasound),conformal,0.9519580602645874,,,,,,,0.2,0.9914529914529915,2.051282051282051,0.9552029967308044,,,,,,
fedbabu,2,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.9504597932078379,0.9827586206896551,0.9506172839506173,0.946236559139785,0.9333333333333333,0.8918918918918919
fedbabu,2,2,Hospital_C (COVID-19 X-Ray),calib,0.6977778077125549,0.06013615242139559,0.08952177315950394,0.01635111119803484,0.08765797317028046,0.9461417322834645,0.9461417322834645,,,,,,,,,,
fedbabu,2,2,Hospital_C (COVID-19 X-Ray),conformal,0.6977778077125549,,,,,,,0.05,0.9962204724409449,2.301102362204724,0.98661208152771,,,,,,
fedbabu,2,2,Hospital_C (COVID-19 X-Ray),conformal,0.6977778077125549,,,,,,,0.1,0.9959055118110236,2.1640944881889763,0.9854744672775269,,,,,,
fedbabu,2,2,Hospital_C (COVID-19 X-Ray),conformal,0.6977778077125549,,,,,,,0.2,0.9952755905511811,1.9889763779527558,0.9839334487915039,,,,,,
fedbabu,2,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.98818124089641,0.9936988027725268,0.9882988298829883,0.9846396218983852,0.9765488274413721,0.9645225464190982
