strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedprox,1,0,Hospital_A (Brain-Tumor MRI),calib,0.5621474385261536,0.06403777819126844,0.06737883388996124,0.029517862796783423,0.06899325549602509,0.963125,0.963125,,,,,,,,,,
fedprox,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5621474385261536,,,,,,,0.05,0.984375,2.274375,0.9965927004814148,,,,,,
fedprox,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5621474385261536,,,,,,,0.1,0.984375,2.10625,0.9963153004646301,,,,,,
fedprox,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5621474385261536,,,,,,,0.2,0.983125,1.941875,0.9959561228752136,,,,,,
fedprox,1,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9856501089804899,0.9874843554443054,0.9883824843610366,0.9882720875684128,0.9874913134120917,0.9868334430546412
fedprox,1,1,Hospital_B (Breast Ultrasound),calib,45.78867721557617,0.06595230764812894,0.1860140562057495,0.5062268885791811,0.6398807168006897,0.8547008547008547,0.8547008547008547,,,,,,,,,,
fedprox,1,1,Hospital_B (Breast Ultrasound),conformal,45.78867721557617,,,,,,,0.05,1.0,3.0,1.0,,,,,,
fedprox,1,1,Hospital_B (Breast Ultrasound),conformal,45.78867721557617,,,,,,,0.1,1.0,2.6153846153846154,0.6767749786376953,,,,,,
fedprox,1,1,Hospital_B (Breast Ultrasound),conformal,45.78867721557617,,,,,,,0.2,1.0,1.9572649572649572,0.3524061441421509,,,,,,
fedprox,1,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.928412261758254,0.9310344827586207,0.9506172839506173,0.9354838709677419,0.9142857142857143,0.8828828828828829
fedprox,1,2,Hospital_C (COVID-19 X-Ray),calib,0.6830223798751831,0.06299206746844793,0.0820833072066307,0.012313330811778357,0.07852065563201904,0.9530708661417323,0.9530708661417323,,,,,,,,,,
fedprox,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.6830223798751831,,,,,,,0.05,0.9977952755905511,2.4588976377952756,0.9894208908081055,,,,,,
fedprox,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.6830223798751831,,,,,,,0.1,0.9974803149606299,2.297952755905512,0.988218367099762,,,,,,
fedprox,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.6830223798751831,,,,,,,0.2,0.9968503937007874,2.0916535433070864,0.9865595102310181,,,,,,
fedprox,1,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9896999494494991,0.9930686830497795,0.9905490549054905,0.9870027569909413,0.9768988449422471,0.9688328912466844
