strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedua,2,0,Hospital_A (Brain-Tumor MRI),calib,0.5498372912406921,0.06610725218430158,0.06849993765354156,0.03265632066875693,0.07180348038673401,0.96125,0.96125,,,,,,,,,,
fedua,2,0,Hospital_A (Brain-Tumor MRI),conformal,0.5498372912406921,,,,,,,0.05,0.99,2.254375,0.9970961809158325,,,,,,
fedua,2,0,Hospital_A (Brain-Tumor MRI),conformal,0.5498372912406921,,,,,,,0.1,0.989375,2.15,0.996915340423584,,,,,,
fedua,2,0,Hospital_A (Brain-Tumor MRI),conformal,0.5498372912406921,,,,,,,0.2,0.989375,1.980625,0.9966805577278137,,,,,,
fedua,2,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9813112524512837,0.9899874843554443,0.9839142091152815,0.982017200938233,0.9833217512161223,0.9828834759710335
fedua,2,1,Hospital_B (Breast Ultrasound),calib,1.041398048400879,0.024218039125458793,0.15856251120567322,0.051479547451703946,0.15909822285175323,0.9145299145299145,0.9145299145299145,,,,,,,,,,
fedua,2,1,Hospital_B (Breast Ultrasound),conformal,1.041398048400879,,,,,,,0.05,1.0,3.0,0.9999999403953552,,,,,,
fedua,2,1,Hospital_B (Breast Ultrasound),conformal,1.041398048400879,,,,,,,0.1,0.9829059829059829,2.4957264957264957,0.9634829759597778,,,,,,
fedua,2,1,Hospital_B (Breast Ultrasound),conformal,1.041398048400879,,,,,,,0.2,0.9829059829059829,2.0085470085470085,0.9407140612602234,,,,,,
fedua,2,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.9299216326339239,0.9655172413793104,0.9629629629629629,0.946236559139785,0.9333333333333333,0.9369369369369369
fedua,2,2,Hospital_C (COVID-19 X-Ray),calib,0.7656419277191162,0.0485587973482027,0.08432408422231674,0.012897921772453741,0.08427196741104126,0.9486614173228346,0.9486614173228346,,,,,,,,,,
fedua,2,2,Hospital_C (COVID-19 X-Ray),conformal,0.7656419277191162,,,,,,,0.05,0.9943307086614174,2.545511811023622,0.9855323433876038,,,,,,
fedua,2,2,Hospital_C (COVID-19 X-Ray),conformal,0.7656419277191162,,,,,,,0.1,0.9943307086614174,2.2784251968503937,0.9836121201515198,,,,,,
fedua,2,2,Hospital_C (COVID-19 X-Ray),conformal,0.7656419277191162,,,,,,,0.2,0.9930708661417322,1.9725984251968505,0.9808124303817749,,,,,,
fedua,2,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9781156287076809,0.984247006931317,0.986948694869487,0.9846396218983852,0.9782989149457473,0.9688328912466844
