strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
local_only,0,0,Hospital_A (Brain-Tumor MRI),calib,0.539455771446228,0.05005223535001275,0.07165700942277908,0.03413854941725733,0.07343708723783493,0.96125,0.96125,,,,,,,,,,
local_only,0,0,Hospital_A (Brain-Tumor MRI),conformal,0.539455771446228,,,,,,,0.05,0.985625,2.066875,0.9972165822982788,,,,,,
local_only,0,0,Hospital_A (Brain-Tumor MRI),conformal,0.539455771446228,,,,,,,0.1,0.985,1.94875,0.9969940185546875,,,,,,
local_only,0,0,Hospital_A (Brain-Tumor MRI),conformal,0.539455771446228,,,,,,,0.2,0.98375,1.835,0.9967978596687317,,,,,,
local_only,0,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9632297755668693,0.9762202753441802,0.9776586237712243,0.9788897576231431,0.9777623349548298,0.9769585253456221
local_only,0,1,Hospital_B (Breast Ultrasound),calib,0.9889708757400513,0.03895119163725112,0.16133427619934082,0.03463000008183669,0.1612813025712967,0.8974358974358975,0.8974358974358975,,,,,,,,,,
local_only,0,1,Hospital_B (Breast Ultrasound),conformal,0.9889708757400513,,,,,,,0.05,1.0,3.0,1.0,,,,,,
local_only,0,1,Hospital_B (Breast Ultrasound),conformal,0.9889708757400513,,,,,,,0.1,0.9743589743589743,2.1452991452991452,0.9598962068557739,,,,,,
local_only,0,1,Hospital_B (Breast Ultrasound),conformal,0.9889708757400513,,,,,,,0.2,0.9743589743589743,1.9487179487179487,0.9442607164382935,,,,,,
local_only,0,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.94113748412442,0.9655172413793104,0.9382716049382716,0.946236559139785,0.9333333333333333,0.9279279279279279
local_only,0,2,Hospital_C (COVID-19 X-Ray),calib,0.7546988129615784,0.05495356036922128,0.07016352564096451,0.009644723370319231,0.06855948269367218,0.9596850393700788,0.9596850393700788,,,,,,,,,,
local_only,0,2,Hospital_C (COVID-19 X-Ray),conformal,0.7546988129615784,,,,,,,0.05,0.9921259842519685,2.1584251968503936,0.9821666479110718,,,,,,
local_only,0,2,Hospital_C (COVID-19 X-Ray),conformal,0.7546988129615784,,,,,,,0.1,0.9918110236220472,2.0100787401574802,0.9802477359771729,,,,,,
local_only,0,2,Hospital_C (COVID-19 X-Ray),conformal,0.7546988129615784,,,,,,,0.2,0.9911811023622047,1.8818897637795275,0.9784823060035706,,,,,,
local_only,0,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9760366403768448,0.980466288594833,0.9837983798379838,0.9838519102008665,0.9835491774588729,0.9764588859416445
