strategy,alpha,target_coverage,empirical_coverage,coverage_std,mean_set_size,set_size_std,qhat_mean
ditto,0.05,95%,0.9944001531058618,0.00613594887655606,2.5636873789547674,0.3307076718724326,0.9922975897789001
ditto,0.1,90%,0.9908534249725195,0.006143744285856365,2.1769587408678617,0.08956879694955044,0.9823833174175687
ditto,0.2,80%,0.9895893435329131,0.006488529221043113,1.974031465217489,0.06386724049552253,0.9779895742734274
fedavg,0.05,95%,0.9942182020249606,0.0055493583145662705,2.4814195614704144,0.28108772669028814,0.990814831521776
fedavg,0.1,90%,0.9928507741286613,0.005442002770389184,2.217254754881067,0.11271045117829168,0.9842336840099759
fedavg,0.2,80%,0.9908567058124146,0.005407138393372398,1.99499127913498,0.08140469744680301,0.9791423148579068
fedbabu,0.05,95%,0.9925929571303587,0.00944929737694033,2.4479204849660885,0.4297694354548435,0.8280196653472053
fedbabu,0.1,90%,0.989291198375844,0.008815108047000008,2.1399740056531393,0.16901260169009752,0.8165964749124315
fedbabu,0.2,80%,0.9886284687170515,0.008608314812949672,1.9590251979720483,0.10837526356064586,0.8115252488189273
fedbn,0.05,95%,0.9948529090113735,0.0056955336283237195,2.4487218885299598,0.29597544765258643,0.9875344038009644
fedbn,0.1,90%,0.9935899211850655,0.00555997963752282,2.1998451275321353,0.16389078296318796,0.983133852481842
fedbn,0.2,80%,0.99229248453986,0.00534118659808325,1.9938495561986376,0.09190770132754955,0.9778722127278646
fedprox,0.05,95%,0.9943334426946632,0.006727117447295761,2.4797576758567574,0.286827002506992,0.9912994901339213
fedprox,0.1,90%,0.9920513428075766,0.006235938468929295,2.2599068185387083,0.18296614869065092,0.9533175826072693
fedprox,0.2,80%,0.9905439324090898,0.006930260269775356,1.9931876210452326,0.07077162438769481,0.914367503590054
fedua,0.05,95%,0.9944012467191601,0.006513015490250387,2.5978226159230093,0.3265282302022232,0.9942831330829196
fedua,0.1,90%,0.9911344835901923,0.006611885746807061,2.3277468388032694,0.2257106057660272,0.9821432762675815
fedua,0.2,80%,0.9887463032131668,0.005877344740363274,1.9993143091355035,0.0520395398048923,0.9733544058269925
local_only,0.05,95%,0.993037510936133,0.006426163774371967,2.3514362881456057,0.4321394357149026,0.9887579414579604
local_only,0.1,90%,0.9849157824289058,0.012658800917926413,2.005049651913169,0.0690464182118169,0.9773062003983392
local_only,0.2,80%,0.9843580396467535,0.01250890317510833,1.8797638870194646,0.04396264309580071,0.9721318946944343
