strategy,client,client_name,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,auc_mean,auc_std,ece_mean,ece_std,brier_mean,brier_std
centralized,0,Hospital A (Brain-Tumor MRI),0.9637500000000001,0.0025000000000000022,0.9631651191656943,0.0025823555802163686,0.9527290872751242,0.003230791335569619,0.9855486111111111,0.0006295917122253952,0.06324408569480174,0.0027609142175820884,0.06747958316794443,0.003524493247870453
centralized,1,Hospital B (Breast Ultrasound),0.8803418803418803,0.04522651813785617,0.874191648933435,0.0477122316929858,0.7959741463629856,0.0818748759435946,0.9561497911790683,0.014152156632998888,0.07145761339035397,0.013451841992182202,0.19153983297965538,0.05812606312987887
centralized,2,Hospital C (COVID-19 X-Ray),0.959265091863517,0.0066391230461993805,0.9634794125590096,0.006983797488962008,0.9377553685413083,0.010056191064889865,0.9944530560569499,0.0008117491749352008,0.07963074956534473,0.003547994167284902,0.07229671426988443,0.00887588730176964
centralized,pooled,Pooled (11 cls),0.9588443717634233,0.003075302288470096,0.939013915790829,0.010710857539045264,0.9503877268062295,0.0036860462384993185,0.9895724867581235,0.00441018677266852,0.07091323565041817,0.002205663962590262,0.07357309103315904,0.0045188937582898055
ditto,0,Hospital A (Brain-Tumor MRI),0.9614583333333333,0.0007216878364870809,0.9608670464577608,0.0006809415762483215,0.9495882829511401,0.0009938137998580056,0.9866600694444445,0.0038738299201364315,0.0633499487031617,0.004383080835066796,0.06725498775677834,0.0014141286452687936
ditto,1,Hospital B (Breast Ultrasound),0.905982905982906,0.022613259068928148,0.8947305213275483,0.023160929964428267,0.8392488138465405,0.039719113887814524,0.9731934492871805,0.0121510453507752,0.05613552118541557,0.018260347020710766,0.1510504124052168,0.028404127778784857
ditto,2,Hospital C (COVID-19 X-Ray),0.9503412073490815,0.009941652998349716,0.9543996780296026,0.010269430100407376,0.9243081459251549,0.01496529161547416,0.9918929430886295,0.0018809061445293836,0.0595251720755901,0.0009307557831715357,0.08146036695889314,0.010907299553381744
fedavg,0,Hospital A (Brain-Tumor MRI),0.9620833333333333,0.0018042195912176063,0.9614413598770598,0.0019286933978101082,0.950445487339186,0.0022358467134514916,0.9888539930555557,0.0008500689842138639,0.06266382488563096,0.006943145999248367,0.06601717233434957,0.004291829797786985
fedavg,1,Hospital B (Breast Ultrasound),0.8547008547008547,0.030816677568068235,0.836984337823218,0.037699027341033156,0.752839807342936,0.05296253726066282,0.9560310303567542,0.013919846364321534,0.08499362196399995,0.019038932884355746,0.2094384141814142,0.04078844830345524
fedavg,2,Hospital C (COVID-19 X-Ray),0.9539107611548556,0.007198303292985606,0.9580868502072732,0.008579871467962791,0.9296133852985404,0.010937086558826595,0.9928454214198313,0.0017326470910035787,0.061351788952673826,0.00017714409537830707,0.0764658178790727,0.010417982065816664
fedbabu,0,Hospital A (Brain-Tumor MRI),0.9610416666666667,0.0030830517889476527,0.9604213640316671,0.0031986667281550495,0.9489135879003703,0.0040545374734454655,0.9857328125000001,0.004741886345233469,0.058366462094231665,0.00807287597609582,0.07164604604605716,0.007853261345863869
fedbabu,1,Hospital B (Breast Ultrasound),0.8461538461538461,0.014803853056144197,0.8284036565286564,0.015425761695942028,0.7412379582488328,0.02402819619914253,0.9546316544067727,0.01254621442787241,0.07047495667310728,0.021135520445473687,0.2220999945230847,0.03438803567979121
fedbabu,2,Hospital C (COVID-19 X-Ray),0.9524409448818897,0.007867714013730303,0.9562708553120198,0.008623730065832115,0.9273782917712454,0.012025994045905243,0.9919076035287536,0.0006158193277770432,0.06319199972481843,0.0027444373166388356,0.08158020096924117,0.009807082968267414
fedbn,0,Hospital A (Brain-Tumor MRI),0.9610416666666666,0.0025259074277046187,0.9603848185816272,0.002630378504139067,0.9490295101976113,0.003234818924977444,0.9878152777777777,0.002470189526977534,0.0596576731369656,0.0074473816223444515,0.06826859699916,0.0033530584105807347
fedbn,1,Hospital B (Breast Ultrasound),0.8547008547008547,0.03418803418803418,0.833842312209486,0.03426629548041055,0.750870891158126,0.05944905438400039,0.9564971572174844,0.012199120921409254,0.07296009370016555,0.024444921494437603,0.2047178245352772,0.039908336498890626
fedbn,2,Hospital C (COVID-19 X-Ray),0.9544356955380576,0.005715761717088244,0.9584417978597056,0.0071833409118125515,0.9304453641970415,0.008661113394382485,0.9925428151089183,0.0006347948860102054,0.062328056816300936,0.002636077587317784,0.0749040328434559,0.009021224023064931
fedprox,0,Hospital A (Brain-Tumor MRI),0.96125,0.0022534695471650066,0.960643365730952,0.0024089797800827435,0.9492921577309473,0.002813155894667591,0.9860552083333335,0.0004562187846056124,0.05807554014949973,0.005992175536482372,0.06948700852858393,0.0034059580026623722
fedprox,1,Hospital B (Breast Ultrasound),0.8433048433048432,0.03558403417890823,0.8240490546593316,0.04040620203509938,0.7295885482378702,0.06548314607134169,0.9503837824131097,0.01329139909550668,0.08392677315915358,0.01993642302548664,0.21445771149832818,0.03519019766968951
fedprox,2,Hospital C (COVID-19 X-Ray),0.9545406824146982,0.006735544328544054,0.9591229211778218,0.006469134852675832,0.9306000530993032,0.010186007767898875,0.992544808045161,0.0005434417941024167,0.061890938686872156,0.0026148660880445417,0.07694875976507827,0.008429317259221546
fedua,0,Hospital A (Brain-Tumor MRI),0.960625,0.0028641098093473995,0.9600246509763594,0.0030266375342373644,0.9484444878102541,0.0035563988646275333,0.9877583333333334,0.0013695982713602564,0.05836820329581854,0.007119067242404676,0.07075647190059113,0.005150685671838202
fedua,1,Hospital B (Breast Ultrasound),0.886039886039886,0.03558403417890821,0.8745128068305267,0.04144217742514102,0.8068253842867151,0.06117032511865595,0.9512013435046094,0.011494059592926306,0.03591299360401267,0.010255646577008247,0.18358924419394673,0.03280742860851265
fedua,2,Hospital C (COVID-19 X-Ray),0.9523359580052494,0.004158593663063191,0.9569314520218494,0.003799092778375121,0.9271706318666025,0.006380864069093182,0.9915962262589134,0.0013789386222070703,0.056937964255001035,0.00878672378003035,0.08030133868255157,0.0061402510587217456
local_only,0,Hospital A (Brain-Tumor MRI),0.9620833333333333,0.0009547032697824463,0.9614729298098958,0.0009529519420514898,0.9504650462606433,0.001213737018063237,0.9873232638888888,0.004806044166337914,0.053766290708620025,0.004132642113083881,0.06872776024896393,0.002536919100640136
local_only,1,Hospital B (Breast Ultrasound),0.9031339031339032,0.009869235370762734,0.8910604505856593,0.013531930496055116,0.8379337393917202,0.014874283773205951,0.9606499767843232,0.0050233834442424356,0.03289874311197353,0.01645444650779182,0.1639394053736023,0.013485268038498704
local_only,2,Hospital C (COVID-19 X-Ray),0.9549606299212599,0.004329992782635438,0.9613627836233931,0.0052761890211143435,0.9310932380745186,0.0066570070839748995,0.9889653640584398,0.0008470632591829175,0.052125738763624974,0.003216309285036866,0.07842206733029057,0.007260282599220844
