strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedua,1,0,Hospital_A (Brain-Tumor MRI),calib,0.5862695574760437,0.05069465074688195,0.06582454591989517,0.02722092241048812,0.06680862605571747,0.96375,0.96375,,,,,,,,,,
fedua,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5862695574760437,,,,,,,0.05,0.993125,2.201875,0.9958588480949402,,,,,,
fedua,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5862695574760437,,,,,,,0.1,0.993125,2.091875,0.9955767393112183,,,,,,
fedua,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5862695574760437,,,,,,,0.2,0.990625,1.976875,0.9953043460845947,,,,,,
fedua,1,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9913615425233029,0.9924906132665833,0.9919571045576407,0.9906176700547302,0.9888811674774148,0.9828834759710335
fedua,1,1,Hospital_B (Breast Ultrasound),calib,1.8118066787719727,0.11657492345214909,0.38893747329711914,0.07611948302668385,0.3789140284061432,0.7350427350427351,0.7350427350427351,,,,,,,,,,
fedua,1,1,Hospital_B (Breast Ultrasound),conformal,1.8118066787719727,,,,,,,0.05,1.0,3.0,1.0,,,,,,
fedua,1,1,Hospital_B (Breast Ultrasound),conformal,1.8118066787719727,,,,,,,0.1,1.0,3.0,1.0,,,,,,
fedua,1,1,Hospital_B (Breast Ultrasound),conformal,1.8118066787719727,,,,,,,0.2,1.0,2.8205128205128207,0.9175899028778076,,,,,,
fedua,1,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.8288429560243574,0.8793103448275862,0.8024691358024691,0.8064516129032258,0.780952380952381,0.7567567567567568
fedua,1,2,Hospital_C (COVID-19 X-Ray),calib,0.7012771368026733,0.059531555720201634,0.07876942306756973,0.007512635621498859,0.07546396553516388,0.9537007874015748,0.9537007874015748,,,,,,,,,,
fedua,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.7012771368026733,,,,,,,0.05,0.998740157480315,2.4270866141732284,0.9884124398231506,,,,,,
fedua,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.7012771368026733,,,,,,,0.1,0.998740157480315,2.2211023622047246,0.9870049953460693,,,,,,
fedua,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.7012771368026733,,,,,,,0.2,0.9974803149606299,1.9968503937007873,0.9851071238517761,,,,,,
fedua,1,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9889294674132674,0.9930686830497795,0.991899189918992,0.9870027569909413,0.9793489674483724,0.9711538461538461
