strategy,seed,client,client_name,metric,temp,ece_raw,brier_raw,ece_cal,brier_cal,acc_uncal,acc_cal,alpha,coverage,mean_set_size,qhat,acc_cov_auc,acc_at_cov_0.50,acc_at_cov_0.70,acc_at_cov_0.80,acc_at_cov_0.90,acc_at_cov_0.95
fedbn,1,0,Hospital_A (Brain-Tumor MRI),calib,0.5687761306762695,0.062026464790105804,0.06338941305875778,0.02530284117907284,0.06246573477983475,0.96625,0.96625,,,,,,,,,,
fedbn,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5687761306762695,,,,,,,0.05,0.98625,2.263125,0.9965633749961853,,,,,,
fedbn,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5687761306762695,,,,,,,0.1,0.98625,2.106875,0.9962877035140991,,,,,,
fedbn,1,0,Hospital_A (Brain-Tumor MRI),conformal,0.5687761306762695,,,,,,,0.2,0.983125,1.928125,0.9959399700164795,,,,,,
fedbn,1,0,Hospital_A (Brain-Tumor MRI),risk_cov,,,,,,,,,,,,0.9802174483465087,0.986232790988736,0.9883824843610366,0.9867083659108679,0.9861014593467686,0.9855167873601053
fedbn,1,1,Hospital_B (Breast Ultrasound),calib,1.2573387622833252,0.09939527460652539,0.3354811370372772,0.09404042643359584,0.32662659883499146,0.7350427350427351,0.7350427350427351,,,,,,,,,,
fedbn,1,1,Hospital_B (Breast Ultrasound),conformal,1.2573387622833252,,,,,,,0.05,1.0,3.0,1.0,,,,,,
fedbn,1,1,Hospital_B (Breast Ultrasound),conformal,1.2573387622833252,,,,,,,0.1,1.0,3.0,0.9739721417427063,,,,,,
fedbn,1,1,Hospital_B (Breast Ultrasound),conformal,1.2573387622833252,,,,,,,0.2,1.0,2.3076923076923075,0.9248884916305542,,,,,,
fedbn,1,1,Hospital_B (Breast Ultrasound),risk_cov,,,,,,,,,,,,0.8838519882464871,0.9310344827586207,0.8888888888888888,0.8387096774193549,0.780952380952381,0.7657657657657657
fedbn,1,2,Hospital_C (COVID-19 X-Ray),calib,0.7022773623466492,0.054939954703248355,0.0823734700679779,0.012358375093129665,0.0799759030342102,0.9533858267716535,0.9533858267716535,,,,,,,,,,
fedbn,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.7022773623466492,,,,,,,0.05,0.9968503937007874,2.409448818897638,0.9886703491210938,,,,,,
fedbn,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.7022773623466492,,,,,,,0.1,0.9962204724409449,2.2160629921259845,0.9872131943702698,,,,,,
fedbn,1,2,Hospital_C (COVID-19 X-Ray),conformal,0.7022773623466492,,,,,,,0.2,0.9949606299212599,2.012283464566929,0.9853487610816956,,,,,,
fedbn,1,2,Hospital_C (COVID-19 X-Ray),risk_cov,,,,,,,,,,,,0.9864909870650224,0.9905482041587902,0.9873987398739874,0.9830641985033478,0.976198809940497,0.9691644562334217
