seed,strategy,client,client_name,acc,f1,mcc,auc,ece,brier,precision,recall
0,fedua,0,Hospital_A (Brain-Tumor MRI),0.95625,0.9555987955398303,0.942828731739516,0.9887270833333334,0.047617466951652976,0.07820949834475041,0.9585995192623692,0.95625
0,fedua,1,Hospital_B (Breast Ultrasound),0.7264957264957265,0.6825933378046054,0.5195563912395169,0.8335369162135434,0.1537912789318944,0.42270066485226415,0.7232854864433812,0.6715379602476377
0,fedua,2,Hospital_C (COVID-19 X-Ray),0.9603149606299213,0.9677064734778359,0.9395336521218179,0.9946538636266521,0.05597470739302848,0.06807919171335443,0.9657974379920901,0.9697503153518089
0,local_only,0,Hospital_A (Brain-Tumor MRI),0.961875,0.9612602954934888,0.9501951166045646,0.9871223958333334,0.050257226110794945,0.07035310378947468,0.9638957254679996,0.961875
0,local_only,1,Hospital_B (Breast Ultrasound),0.811965811965812,0.7947113249780243,0.6995410583097966,0.9075132878998643,0.07480536381651118,0.2994529594705628,0.7769312169312169,0.8255294884327142
0,local_only,2,Hospital_C (COVID-19 X-Ray),0.9596850393700788,0.9665552875914274,0.9383277430754687,0.9898896309895221,0.05259436329623622,0.06963477300237207,0.9675705316212466,0.9656006615738991
0,fedbn,0,Hospital_A (Brain-Tumor MRI),0.96625,0.9657930728472675,0.9556547482491903,0.9894786458333333,0.059273611538908394,0.06164741482368337,0.9674124716338923,0.96625
0,fedbn,1,Hospital_B (Breast Ultrasound),0.717948717948718,0.6329919222849902,0.4920931618634253,0.8633088431800693,0.15106938628702077,0.4156729542323555,0.756060606060606,0.5972140762463344
0,fedbn,2,Hospital_C (COVID-19 X-Ray),0.96,0.9647471014349858,0.9389524655168138,0.9932687879981803,0.05989384682047661,0.06820679379970762,0.9655020113586268,0.9644435113496826
1,fedua,0,Hospital_A (Brain-Tumor MRI),0.95875,0.9580869469172038,0.946029366959531,0.9861541666666668,0.05605850763480023,0.07402745158380884,0.9607368498742356,0.95875
1,fedua,1,Hospital_B (Breast Ultrasound),0.8205128205128205,0.7980703392468098,0.7007820149894647,0.931723562663643,0.10013682050488264,0.27414476725064546,0.7914693381906496,0.8072115384615385
1,fedua,2,Hospital_C (COVID-19 X-Ray),0.945511811023622,0.9468048350307628,0.9166249802964183,0.9879779405463647,0.05304969940353298,0.08753936439261917,0.9574534223295426,0.9372262605818334
1,local_only,0,Hospital_A (Brain-Tumor MRI),0.961875,0.9611918585639029,0.9502645595031645,0.9921270833333333,0.05943510233677581,0.06852752528437273,0.9640325047985455,0.961875
1,local_only,1,Hospital_B (Breast Ultrasound),0.8717948717948718,0.864072009887368,0.7962643072591697,0.9662343623473912,0.08207340099741632,0.21037878279519143,0.8660540239487607,0.876923076923077
1,local_only,2,Hospital_C (COVID-19 X-Ray),0.9574803149606299,0.9631903527960982,0.934932313140655,0.9909120391717879,0.05601412572923711,0.07212440495813341,0.9645585567879921,0.9619204757796239
1,fedbn,0,Hospital_A (Brain-Tumor MRI),0.96625,0.9657071336759797,0.9558870964817583,0.9871687499999999,0.062026487332444154,0.06338940825118877,0.9679833491950411,0.96625
1,fedbn,1,Hospital_B (Breast Ultrasound),0.7350427350427351,0.6963407176173134,0.5332322356546988,0.9113859424694665,0.09939527433351282,0.3354811160774409,0.7346921224630204,0.6737179487179489
1,fedbn,2,Hospital_C (COVID-19 X-Ray),0.9533858267716535,0.9572434978183026,0.9287572285735123,0.9917011431757178,0.054939944787109556,0.08237346338525327,0.9579541278947654,0.9567806365337417
2,fedua,0,Hospital_A (Brain-Tumor MRI),0.958125,0.9575486814352138,0.9448366556132686,0.9851614583333332,0.06915003691862061,0.07375985467588546,0.9590994461690474,0.958125
2,fedua,1,Hospital_B (Breast Ultrasound),0.7692307692307693,0.7201243201243201,0.5899062003614577,0.8990323647827321,0.10140755223769726,0.34990119911356504,0.7597402597402597,0.6965786901270773
2,fedua,2,Hospital_C (COVID-19 X-Ray),0.944251968503937,0.9501097162707328,0.9152472613590947,0.9944352969875773,0.062250671940189975,0.08808729431456574,0.9463968883612373,0.9540783453635518
2,local_only,0,Hospital_A (Brain-Tumor MRI),0.961875,0.9613421024525113,0.9499749840734697,0.9887755208333333,0.051392031257619715,0.07207776327331873,0.9633921770345767,0.961875
2,local_only,1,Hospital_B (Breast Ultrasound),0.8461538461538461,0.8370743034055727,0.7422938362598411,0.9582951595902909,0.07069448056534056,0.24304378005345104,0.8406148083567437,0.8398175301401108
2,local_only,2,Hospital_C (COVID-19 X-Ray),0.9537007874015748,0.9604340806850395,0.929171964363153,0.9876571842098132,0.04702991540898756,0.08209303437957291,0.9615582281300864,0.959460563999342
2,fedbn,0,Hospital_A (Brain-Tumor MRI),0.96125,0.960744467158228,0.9492340498418855,0.9895833333333335,0.06275573734570047,0.06820350496190387,0.9630919774669775,0.96125
2,fedbn,1,Hospital_B (Breast Ultrasound),0.7435897435897436,0.699724307470087,0.5446936744372989,0.8941140538394915,0.08203285004682646,0.34851208656217675,0.7342472342472343,0.6816389703486477
2,fedbn,2,Hospital_C (COVID-19 X-Ray),0.9477165354330709,0.9550941170981275,0.9204369204496249,0.9930330187916268,0.05984200453928614,0.08556213408397642,0.951801368936611,0.9587759489513641
